ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	Vereinigte Staaten
ᐃᑕᓖ	Italien
ᑐᕒᑭ	Türkei
Atimw	Haushund
ᐱᔥᑎᑯᔮᐤ ᐊᔨᒧᐎᓐ	Französische Sprache
ᓇᒣᔅ	Fische
ᑯᐯᒃ	Québec
ᓃᐲᔾ	Wasser
Wikipedia:Archives/ᐲᔖᑲᓐ	Leder
Star Wars	Star Wars
ᒌᔑᑳᐅᐲᓯᒽ	Sonne
ᐱᓯᐢᑭᐤ	Tier
ᐅᐲᑭᒋᑳᓇ	Pflanzen
Wikipedia:Archives/ᑳᔭᒦᒪᑲᐦᒡ	Hörfunk
ᑭᑲᓯᑲᒋ ᑌᐊᐁᓭᐊᕃ	Gaius Iulius Caesar
Itasinâsowin	Farbe
Estakok miroskamin	Frühling
Nipin	Sommer
Takwakin	Herbst
Wikipedia:Archives/ᕆᒧᔅᑭ	Rimouski
Wikipedia:Archives/ᐅᒑᐹᓂᔥ	Automobil
ᐧᐁᒥᔥᑎᑯᔒᐤ ᐊᔨᒧᐧᐃᓐ	Englische Sprache
ᐅᓐᑌᕇᐤ	Ontario
ᒪᓂᑐᐸ	Manitoba
Category:Template	Kategorie:Vorlage:
Wikipedia:Archives/ᐅᓴᔅᑯ	Osasco
ᑯᓐᕗᓯ	Konfuzius
ᓃᔥᑕᒻᐹᔅᑌᒋᓂᑲᓐ	Wikipedia:Hauptseite
Category:Candidates for speedy deletion	Kategorie:Wikipedia:Schnelllöschen
ᐲᐧᓭᐋᐃᐦᑯᓈᐤ	Brot
Wikipedia:Archives/ᒎᒎᔑᓈᐴ	Milch
ᐧᐊᔒ	Berg
ᑕᐧᔐᔫᓂᑯᒑᔥ	Gleithörnchen
ᒥᔥᑎᒄ	Baum
Wikipedia:Archives/ᑳᒋᐦᑳᔥᑌᐦᑎᐦᒡ	Film
ᑳᐅᔅᑎᐦᑖᑯᓂᒋᐸᐦᑖᑦ	Schneemobil
ᒪᐦᐃᐦᑲᓐ	Wolf
Wikipedia:Archives/ᐯᔭᑯᔥᑌᐤ	Neun
Wikipedia:Archives/ᒪᔅᒋᓯᓐ	Schuh
Wikipedia:Archives/ᓃᐧᔖᔥᒡ	Sieben
Wikipedia:Archives/ᓂᔮᓈᓀᐤ	Acht
ᐫᑦᕂᓇ	Entrena
Wikipedia:Archives/Sálená	Selena Quintanilla-Pérez
