Αφρική	Afrika
Ιαπωνία	Japan
Νότια Αμερική	Südamerika
Νορβηγία	Norwegen
Αγγλία	England
Σκωτία	Schottland
Ουαλία	Wales
Βόρεια Ιρλανδία	Nordirland
Δημοκρατία της Ιρλανδίας	Irland
Ουγγαρία	Ungarn
Ισπανία	Spanien
Ηνωμένες Πολιτείες Αμερικής	Vereinigte Staaten
Βέλγιο	Belgien
Λουξεμβούργο	Luxemburg
Σύμπαν	Universum
Γη	Erde
Ζωή	Leben
Θάνατος	Tod
Άνθρωπος	Mensch
Ευτυχία	Glück
Τρισκαιδεκαφοβία	Triskaidekaphobie
Τζορτζ Ουάσινγκτον	George Washington
Ντάγκλας Άνταμς	Douglas Adams
Τιμ Μπέρνερς Λι	Tim Berners-Lee
Στάνλεϊ Κιούμπρικ	Stanley Kubrick
Ημερολόγιο των Μάγιας	Maya-Kalender
Wikidata	Wikidata
Φινλανδία	Finnland
Σουηδία	Schweden
Δανία	Dänemark
Πολωνία	Polen
Λιθουανία	Litauen
Ιταλία	Italien
Ελβετία	Schweiz
Αυστρία	Österreich
Ελλάδα	Griechenland
Τουρκία	Türkei
Μπύρα	Bier
Πορτογαλία	Portugal
Ευρώπη	Europa
Ασία	Asien
Βόρεια Αμερική	Nordamerika
Ανταρκτική	Antarktika
Βικιπαίδεια	Wikipedia
All your base are belong to us	All your base are belong to us
Ολλανδία	Niederlande
Πέος	Penis
PHP	PHP
Νέα Υόρκη	New York City
Ουάσινγκτον	Washington, D.C.
Σαν Φρανσίσκο	San Francisco
Βερολίνο	Berlin
Λος Άντζελες	Los Angeles
Airbus	Airbus
Ηλεκτρονικός υπολογιστής	Computer
Βέρνη	Bern
Γενεύη	Genf
Ζυρίχη	Zürich
Internet Relay Chat	Internet Relay Chat
Διαδίκτυο	Internet
Μπαράκ Ομπάμα	Barack Obama
Ουρουγουάη	Uruguay
Βασιλεία (Ελβετία)	Basel
Εκτυπωτής	Drucker (Gerät)
MediaWiki	MediaWiki
Λονδίνο	London
Κάιρο	Kairo
Πονοκέφαλος	Kopfschmerz
Αλεξάνδρεια	Alexandria
Παρίσι	Paris
Αβραάμ Λίνκολν	Abraham Lincoln
Android	Android (Betriebssystem)
Google	Google Inc.
Μεξικό	Mexiko
Ατλαντικός Ωκεανός	Atlantischer Ozean
Ειρηνικός Ωκεανός	Pazifischer Ozean
Καλιφόρνια	Kalifornien
Βοστώνη	Boston
Λοπαδο­τεμαχο­σελαχο­γαλεο­κρανιο­λειψανο­δριμ­υπο­τριμματο­σιλφιο­καραβο­μελιτο­κατακεχυ­μενο ­κιχλ­επι­κοσσυφο­φαττο­περιστε...	Lopadotemachoselachogaleokranioleipsanodrimhypotrimmatosilphiokarabomelitokatakechymenokichlepikossyphophattoperisteralektryonoptokephalliokinklopeleiolagoosiraiobaphetraganopterygon
Δευτέρα	Montag
Χώρος	Raum (Physik)
Ιανουάριος	Januar
Φεβρουάριος	Februar
Μάρτιος	März
Άρης (πλανήτης)	Mars (Planet)
Μαρς	Mars (Mythologie)
Μέθοδος Schulze	Schulze-Methode
Κένυα	Kenia
Αιθιοπία	Äthiopien
Μονάρχης	Herrschertitel
Γκάνα	Ghana
Απρίλιος	April
Μάιος	Mai
Ιούνιος	Juni
Ιούλιος	Juli
Αύγουστος	August
Σεπτέμβριος	September
Οκτώβριος	Oktober
Νοέμβριος	November
Δεκέμβριος	Dezember
Τρίτη	Dienstag
Τετάρτη	Mittwoch
Πέμπτη	Donnerstag
Παρασκευή	Freitag
Σάββατο	Samstag
Κυριακή	Sonntag
Αξιωματικός (σκάκι)	Läufer (Schach)
Πιόνι (σκάκι)	Bauer (Schach)
Ίππος (σκάκι)	Springer (Schach)
Πύργος (σκάκι)	Turm (Schach)
Βασιλιάς (σκάκι)	König (Schach)
Βασίλισσα (σκάκι)	Dame (Schach)
Λιοντάρι	Löwe
Γαλλία	Frankreich
Εσπεράντο	Esperanto
Σκύλος	Haushund
Ηνωμένο Βασίλειο	Vereinigtes Königreich
Γάτα	Hauskatze
Λαϊκή Δημοκρατία της Κίνας	Volksrepublik China
Nyan Cat	Nyan Cat
Γαλλική γλώσσα	Französische Sprache
Βικιλεξικό	Wiktionary
Ψάρι	Fische
Αιθανόλη	Ethanol
Αλκοολούχο ποτό	Alkoholisches Getränk
Βραζιλία	Brasilien
Αλκοόλες	Alkohole
Φρανσουά Ολλάντ	François Hollande
Ρωσία	Russland
Κητώδη	Wale
Οπτική ίνα	Lichtwellenleiter
Τετράγωνο	Quadrat
Θάλασσα	Meer
Μαύρη Θάλασσα	Schwarzes Meer
Αριθμός π	Kreiszahl
Πι	Pi (Buchstabe)
Wiki	Wiki
Τορόντο	Toronto
Αλαμπάμα	Alabama
Σάο Πάολο	São Paulo
Κεμπέκ (επαρχία)	Québec
Πίτσα	Pizza
Ζυμαρικό	Pasta
Boeing 747	Boeing 747
Ίδρυμα Wikimedia	Wikimedia
Τζίμι Γουέιλς	Jimmy Wales
Γερμανία	Deutschland
Λευκορωσία	Weißrussland
Εθνικός ύμνος της Ιταλίας	Fratelli d’Italia
Γερμανική γλώσσα	Deutsche Sprache
Ισλανδία	Island
Θεός	Gott
Εσθονία	Estland
Ντέιβιντ Κάμερον	David Cameron
Κρόνος (πλανήτης)	Saturn (Planet)
Δακτύλιοι του Κρόνου	Ringe des Saturn
Σοκολάτα	Schokolade
Αεροπλάνο	Flugzeug
Πόλεμος	Krieg
1 (αριθμός)	Eins
2 (αριθμός)	Zwei
3 (αριθμός)	Drei
4 (αριθμός)	Vier
5 (αριθμός)	Fünf
0 (αριθμός)	Null
Άπειρο	Unendlichkeit
Στήβεν Χάρπερ	Stephen Harper
Τζορτζ Μπους (νεότερος)	George W. Bush
Ορθογώνιο παραλληλόγραμμο	Rechteck
Ορθή γωνία	Rechter Winkel
Λετονία	Lettland
Ουκρανία	Ukraine
Τσεχία	Tschechien
Σλοβακία	Slowakei
Σλοβενία	Slowenien
Βίλνιους	Vilnius
Μολδαβία	Moldawien
Ρουμανία	Rumänien
Βουλγαρία	Bulgarien
Ρώμη	Rom
Πρώην Γιουγκοσλαβική Δημοκρατία της Μακεδονίας	Mazedonien
Αλβανία	Albanien
Γροιλανδία	Grönland
Κροατία	Kroatien
Βοσνία και Ερζεγοβίνη	Bosnien und Herzegowina
Νουούκ	Nuuk
Αζερμπαϊτζάν	Aserbaidschan
Ανδόρρα	Andorra
Κύπρος	Republik Zypern
Γεωργία	Georgien
Βαλλωνική Περιοχή	Wallonische Region
Καζακστάν	Kasachstan
Μάλτα	Malta
Φλάνδρα	Flandern
Μονακό	Monaco
Μαυροβούνιο	Montenegro
Βατικανό	Vatikanstadt
Άγιος Μαρίνος	San Marino
Βρυξέλλες	Stadt Brüssel
Περιοχή των Βρυξελλών	Region Brüssel-Hauptstadt
Κούβα	Kuba
Μπελίζ	Belize
Πύργος του Άιφελ	Eiffelturm
Μπαρμπάντος	Barbados
Volkswagen	Volkswagen
Volkswagen Golf	VW Golf
Intel Corporation	Intel
Πληκτρολόγιο	Tastatur
Java	Java (Programmiersprache)
Ινδονησία	Indonesien
QWERTY	QWERTY-Tastaturbelegung
