આફ્રિકા	Afrika
જાપાન	Japan
દક્ષિણ અમેરિકા	Südamerika
નોર્વે	Norwegen
વેલ્સ	Wales
નોર્ધન આયર્લેન્ડ	Nordirland
હંગેરી	Ungarn
સ્પેન	Spanien
સંયુક્ત રાજ્ય અમેરિકા	Vereinigte Staaten
બેલ્જિયમ	Belgien
લક્ઝેમ્બર્ગ	Luxemburg
બ્રહ્માંડ	Universum
પૃથ્વી	Erde
મનુષ્ય	Mensch
ફીનલેંડ	Finnland
સ્વિડન	Schweden
પોલેંડ	Polen
લિથુઆનિયા	Litauen
ઈટલી	Italien
સ્વિત્ઝરલેન્ડ	Schweiz
ઑસ્ટ્રિયા	Österreich
ગ્રીસ	Griechenland
તુર્કસ્તાન	Türkei
પોર્ટુગલ	Portugal
યુરોપ	Europa
એશિયા	Asien
ઉત્તર અમેરિકા	Nordamerika
ઍન્ટાર્કટિકા	Antarktika
વિકિપીડિયા	Wikipedia
નેધરલેંડ	Niederlande
PHP (પ્રોગ્રામિંગ ભાષા)	PHP
એર બસ	Airbus
સંગણક	Computer
ઇન્ટરનેટ	Internet
ઉરુગ્વે	Uruguay
કમ્પ્યુટર પ્રિન્ટર	Drucker (Gerät)
લંડન	London
એલેક્ઝાન્ડ્રિયા	Alexandria
પૅરિસ	Paris
ગૂગલ	Google Inc.
મેક્સિકો	Mexiko
સોમવાર	Montag
જાન્યુઆરી	Januar
ફેબ્રુઆરી	Februar
માર્ચ	März
મંગળ (ગ્રહ)	Mars (Planet)
કેન્યા	Kenia
ઇથિયોપિયા	Äthiopien
ઘાના	Ghana
એપ્રિલ	April
મે	Mai
જૂન	Juni
જુલાઇ	Juli
ઓગસ્ટ	August
સપ્ટેમ્બર	September
ઓક્ટોબર	Oktober
નવેમ્બર	November
ડિસેમ્બર	Dezember
મંગળવાર	Dienstag
બુધવાર	Mittwoch
ગુરુવાર	Donnerstag
શુક્રવાર	Freitag
શનિવાર	Samstag
રવિવાર	Sonntag
એશિયાઇ સિંહ	Löwe
ફ્રાન્સ	Frankreich
યુનાઇટેડ કિંગડમ	Vereinigtes Königreich
ચીન	Volksrepublik China
માછલી	Fische
ઇથેનોલ	Ethanol
મદ્યાર્ક યુક્ત પીણું	Alkoholisches Getränk
બ્રાઝિલ	Brasilien
રશિયા	Russland
કાળો સમુદ્ર	Schwarzes Meer
અલાબામા	Alabama
ક્વિબેક	Québec
વિકિમીડિયા ફાઉન્ડેશન	Wikimedia
જીમ્મી વેલ્સ	Jimmy Wales
જર્મની	Deutschland
બેલારુસ	Weißrussland
જર્મન ભાષા	Deutsche Sprache
આઈસલેંડ	Island
ઈશ્વર	Gott
ઈસ્ટોનિયા	Estland
શનિ (ગ્રહ)	Saturn (Planet)
૧	Eins
૦ (શૂન્ય)	Null
લાટવિયા	Lettland
યુક્રેન	Ukraine
સ્લોવાકિયા	Slowakei
સ્લોવેનિયા	Slowenien
મોલ્દોવા	Moldawien
રોમાનિયા	Rumänien
બલ્ગેરિયા	Bulgarien
મેસેડોનિયા	Mazedonien
આલ્બેનિયા	Albanien
ક્રોએશિયા	Kroatien
અઝેરબીજાન	Aserbaidschan
સાયપ્રસ	Republik Zypern
જ્યોર્જીયા (દેશ)	Georgien
કઝાકિસ્તાન	Kasachstan
માલ્ટા	Malta
મોનૅકો	Monaco
મોન્ટેનીગ્રો	Montenegro
સાન મૅરિનો	San Marino
ઍફીલ ટાવર	Eiffelturm
ઇન્ટેલ કોર્પોરેશન	Intel
કોમ્પ્યુટર કીબોર્ડ	Tastatur
જાવા (પ્રોગ્રામિંગ ભાષા)	Java (Programmiersprache)
ઈંડોનેશિયા	Indonesien
મોઝાર્ટ	Wolfgang Amadeus Mozart
દક્ષિણ આફ્રિકા	Südafrika
વિકિસ્રોત	Wikisource
ઉઝબેકિસ્તાન	Usbekistan
પાણી	Wasser
ચીલી	Chile
ઇસુ	Jesus Christus
ગૅલિલિયો ગૅલિલિ	Galileo Galilei
બુધ (ગ્રહ)	Merkur (Planet)
ઇતિહાસ	Geschichte
શુક્ર (ગ્રહ)	Venus (Planet)
ભાષા	Sprache
પ્રેમ	Liebe
આકાશગંગા	Galaxie
ગુરુ (ગ્રહ)	Jupiter (Planet)
યુરેનસ (ગ્રહ)	Uranus (Planet)
નૅપ્ચ્યુન (ગ્રહ)	Neptun (Planet)
ખગોળશાસ્ત્ર	Astronomie
સિંગાપુર	Singapur
વિજ્ઞાન	Wissenschaft
પ્લૂટો	Pluto
ફ્રી સૉફ્ટવૅર	Freie Software
લીચેસ્ટેઈન	Liechtenstein
રમત-ગમત	Sport
ફેસબુક	Facebook
જુલિયન અસાંજે	Julian Assange
બીજું વિશ્વ યુદ્ધ	Zweiter Weltkrieg
ભ્રષ્ટાચાર	Korruption
વોડકા	Wodka
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu
ગણિત	Mathematik
બહેરીન	Bahrain
આર્મેનિયા	Armenien
ચંદ્ર	Mond
ઑસ્ટ્રેલિયા	Australien
ભૌતિકશાસ્ત્ર	Physik
આર્જેન્ટીના	Argentinien
પેરુ (દેશ)	Peru
જીવવિજ્ઞાન	Biologie
અજાણી ઊડતી વસ્તુ	UFO
ઉત્તર કોરિયા	Nordkorea
કમ્બોડીયા	Kambodscha
કુરાન	Koran
