Yn Affrick	Afrika
Yn Çhapaan	Japan
America Yiass	Südamerika
Norlynn	Norwegen
Sostyn	England
Nalbin	Schottland
Bretyn	Wales
Nerin Hwoaie	Nordirland
Pobblaght Nerin	Irland
Yn Ungaar	Ungarn
Yn Spaainey	Spanien
Steatyn Unnaneysit America	Vereinigte Staaten
Yn Velg	Belgien
Lucsemburg	Luxemburg
Yn Dowan	Erde
Finnlynn	Finnland
Yn Toolynn	Schweden
Yn Danvarg	Dänemark
Yn Pholynn	Polen
Yn Litaan	Litauen
Yn Iddaal	Italien
Yn Elveeish	Schweiz
Yn Austeyr	Österreich
Yn Ghreag	Griechenland
Yn Turkee	Türkei
Lhune	Bier
Yn Phortiugal	Portugal
Yn Oarpey	Europa
Yn Aishey	Asien
America Hwoaie	Nordamerika
Yn Antarctagh	Antarktika
Wikipedia	Wikipedia
Yn Çheer Injil	Niederlande
Caayr York Noa	New York City
Washington, D.C.	Washington, D.C.
San Francisco	San Francisco
Berleen	Berlin
Los Angeles	Los Angeles
Co-earrooder	Computer
Berne	Bern
Eddyr-voggyl	Internet
Barack Obama	Barack Obama
Yn Ooraguay	Uruguay
Lunnin	London
Cairo	Kairo
Paarys	Paris
Abraham Lincoln	Abraham Lincoln
Meksico	Mexiko
Yn Keayn Sheear	Atlantischer Ozean
Yn Keayn Sheealtagh	Pazifischer Ozean
California	Kalifornien
Boston	Boston
Jelune	Montag
Jerrey Geuree	Januar
Toshiaght Arree	Februar
Mayrnt	März
Mart (planaid)	Mars (Planet)
Yn Cheinney	Kenia
Yn Eetoip	Äthiopien
Yn Ghaney	Ghana
Averil	April
Boaldyn	Mai
Mean Souree	Juni
Jerrey Souree	Juli
Luanistyn	August
Mean Fouyir	September
Jerrey Fouyir	Oktober
Mee Houney	November
Mee ny Nollick	Dezember
Jemayrt	Dienstag
Jecrean	Mittwoch
Jerdein	Donnerstag
Jeheiney	Freitag
Jesarn	Samstag
Jedoonee	Sonntag
Yn Rank	Frankreich
Moddey	Haushund
Reeriaght Unnaneysit	Vereinigtes Königreich
Kayt	Hauskatze
Deynphobblaght ny Sheen	Volksrepublik China
Frangish	Französische Sprache
Eeast	Fische
Yn Vrasseel	Brasilien
Alcoal	Alkohole
François Hollande	François Hollande
Yn Roosh	Russland
Mooir	Meer
Yn Vooir Ghoo	Schwarzes Meer
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Québec	Québec
Wikimedia	Wikimedia
Yn Ghermaan	Deutschland
Yn Velaroosh	Weißrussland
Germaanish	Deutsche Sprache
Yn Eeslynn	Island
Jee	Gott
Yn Estaan	Estland
David Cameron	David Cameron
Sarn (planaid)	Saturn (Planet)
Etlan	Flugzeug
0 (earroo)	Null
George W. Bush	George W. Bush
Yn Latvey	Lettland
Yn Ookraan	Ukraine
Yn Phobblaght Çheck	Tschechien
Yn Clovack	Slowakei
Yn Clovean	Slowenien
Vilnius	Vilnius
Moldova	Moldawien
Yn Romaan	Rumänien
Yn Vulgeyr	Bulgarien
Yn Raue	Rom
Pobblaght ny Massadoan	Mazedonien
Yn Albaan	Albanien
Greenlynn	Grönland
Yn Chroit	Kroatien
Bosnia as Herzegovina	Bosnien und Herzegowina
Nuuk	Nuuk
Yn Asserbajaan	Aserbaidschan
Andorra	Andorra
Yn Cheeprey	Republik Zypern
Yn Çhorshey	Georgien
Yn Walloon	Wallonische Region
Yn Chassaghstaan	Kasachstan
Yn Valta	Malta
Yn Flandyryn	Flandern
Monaco	Monaco
Montenegro	Montenegro
Ard-valley yn Phaab	Vatikanstadt
San Marino	San Marino
Yn Vrussyl	Region Brüssel-Hauptstadt
Yn Choobey	Kuba
Yn Veleesh	Belize
Barbados	Barbados
Yn Indoneesh	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Turkish	Türkische Sprache
Yn Affrick Yiass	Südafrika
Yn Algear	Algerien
Yn Oosbeckistaan	Usbekistan
Poznań	Posen
Warszawa	Warschau
Feeyn	Wein
Ushtey	Wasser
Coinnagh	Cognac (Branntwein)
Çhellveeish	Fernsehen
Eeslynnish	Isländische Sprache
Yn Çhillee	Chile
Yeesey Chreest	Jesus Christus
Elvis Presley	Elvis Presley
Curain	Merkur (Planet)
Shennaghys	Geschichte
Badlag	Venus (Planet)
Çhengey (çhaghteraght)	Sprache
Co-rollageys	Galaxie
Iupiter	Jupiter (Planet)
Raad Mooar Ree Gorree	Milchstraße
Uraanus	Uranus (Planet)
Nicolas Sarkozy	Nicolas Sarkozy
Neptioon	Neptun (Planet)
Rollageydys	Astronomie
Singapore	Singapur
Oaylleeaght	Wissenschaft
Pluto	Pluto
Cooid vog heyr	Freie Software
Kemper	Quimper
Liechtenstein	Liechtenstein
Spoyrt	Sport
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Yn Chied Chaggey Dowanagh	Erster Weltkrieg
Yn Nah Chaggey Dowanagh	Zweiter Weltkrieg
Koloin	Köln
Vodka	Wodka
Clag (traa)	Uhr
Yanka Kupala	Janka Kupala
Skopje	Skopje
Gdynia	Gdynia
Szczecin	Stettin
Maddaght	Mathematik
Ladjyn	Latein
Bahrain	Bahrain
Yn Armeain	Armenien
Yn Serb	Serbien
Yn Eayst	Mond
İstanbul	Istanbul
Yn Austrail	Australien
Fishig	Physik
Yn Argenteen	Argentinien
Yn Pheroo	Peru
Bea-oaylleeaght	Biologie
Yn Chorea Twoaie	Nordkorea
Yn Chamboyd	Kambodscha
Cryss Kuiper	Kuipergürtel
Jeeneysoar	Dinosaurier
Baagh-oaylleeaght	Zoologie
Yn Islam	Islam
Peear	Birnen
Ljubljana	Ljubljana
Lus-oaylleeaght	Botanik
Lech Wałęsa	Lech Wałęsa
Yn Unnaneys Oarpagh	Europäische Union
Rhône-Alpes	Rhône-Alpes
Sofia	Sofia
Feeleeaght	Poesie
Limon	Zitrone
Caayr	Stadt
Fyshoaylleeaght	Physiologie
Rollage	Stern
Yn Ghrian	Sonne
PSR B1257+12	PSR B1257+12
Balley beg	Dorf
Corys ny Greiney	Sonnensystem
Yn Vooir Valtagh	Ostsee
Wisła	Weichsel
Hiddragien	Wasserstoff
Hailium	Helium
Angela Merkel	Angela Merkel
Litçhey	Lithium
Beryllium	Beryllium
Lioar	Buch
Laa	Tag
Yn Teemor Hiar	Osttimor
Blein	Jahr
Łódź	Łódź
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Towl doo	Schwarzes Loch
Keres (planaid crivassanagh)	(1) Ceres
Lisboa	Lissabon
Rzeszów	Rzeszów
Makemake (planaid crivassanagh)	(136472) Makemake
Eris (planaid crivassanagh)	(136199) Eris
Boron	Bor
Carboan	Kohlenstoff
Neetragien	Stickstoff
Ocsygien	Sauerstoff
Planaid	Planet
Kiaull	Musik
Neva (awin)	Newa
Tempreilyssane	Thermometer
Roazhon	Rennes
Lille	Lille
Moscow	Moskau
Fluoreen	Fluor
Iddaalish	Italienische Sprache
Neoin	Neon
Caayr Pheddyr	Sankt Petersburg
Shad	Tschad
Sodjum	Natrium
Magnaishum	Magnesium
Ollymin	Aluminium
Yn Teelynn Noa	Neuseeland
Yn Injey	Indien
Shillagon	Silicium
Frankium	Francium
Tuvalu	Tuvalu
Fosfaar	Phosphor
Yiarn	Eisen
Yn Tongey	Tonga
Sulfur	Schwefel
Samoa	Samoa
Ny h-Ellanyn Holomon	Salomonen
Vanuatu	Vanuatu
Cloreen	Chlor
Papooey Guinea Noa	Papua-Neuguinea
Yn Ollan Yiass	Provinz Südholland
Palau	Palau
Argon	Argon
Naaroo	Nauru
Yn Ollan Hwoaie	Provinz Nordholland
Steatyn Conastit y Vynneeys	Föderierte Staaten von Mikronesien
Potashum	Kalium
Yn Teelynn, y Çheer Injil	Provinz Zeeland
Kelkium	Calcium
Flevoland	Provinz Flevoland
Leoaie	Blei
Ny h-Ellanyn Varshyl	Marshallinseln
Yn Chiribati	Kiribati
Yn Vongoil	Mongolei
Fiji	Fidschi
Scandjum	Scandium
Çhitaanium	Titan (Element)
Yn Veneswaaley	Venezuela
Vanaadjum	Vanadium
Maine	Maine
Cromium	Chrom
Cabbyl	Hauspferd
Amsterdam	Amsterdam
Baagh	Tier
Yn Toorinam	Suriname
Manganaish	Mangan
Yn Pharaguay	Paraguay
Geeaaney	Guyana
Ellyn	Kunst
Ecuador	Ecuador
Rainium	Rhenium
Yn Cholombey	Kolumbien
Cobalt	Cobalt
Tungsten	Wolfram
Nickyl	Nickel
Groningen (caayr)	Groningen
Yn Volivia	Bolivien
Osmium	Osmium
Groningen (queiggey)	Provinz Groningen
Cobbyr	Kupfer
Trinaid as Tobago	Trinidad und Tobago
Lus	Pflanzen
Noo Winsen as ny Grenadeenyn	St. Vincent und die Grenadinen
Shinc	Zink
New Hampshire	New Hampshire
Noo Lucia	St. Lucia
Białystok	Białystok
Leonardo da Vinci	Leonardo da Vinci
Noo Kitts as Nevis	St. Kitts und Nevis
Fungys	Pilze
Yn Yamaicey	Jamaika
Grenada	Grenada
Yn Reeshlann (queiggey)	Provinz Friesland
Massachusetts	Massachusetts
Drenthe	Provinz Drente
Overijssel	Provinz Overijssel
Yn Ghuatemaley	Guatemala
Gelderland	Provinz Gelderland
Utrecht (queiggey)	Provinz Utrecht
Ny Bahamaghyn	Bahamas
Connecticut	Connecticut
Antigua as Barbuda	Antigua und Barbuda
Hawaii	Hawaii
Ny Hondooraghyn	Honduras
Dominica	Dominica
Jersee	Jersey
Yn Phobblaght Ghominicagh	Dominikanische Republik
Muc	Hausschwein
Yn Vooir Arctagh	Arktischer Ozean
Haiti	Haiti
Yn Salvador	El Salvador
Yn Eeraan	Iran
Yn Earack	Irak
Alaska	Alaska
Yn Coose Berçhagh	Costa Rica
Israel	Israel
Utrecht (caayr)	Utrecht
Yn Phanamaa	Panama
Yn Yeaman	Jemen
Polynnish	Polnische Sprache
Yn Jordaan	Jordanien
Yn Nickeraag	Nicaragua
Florida	Florida
Yn Chyrgistaan	Kirgisistan
Arizona	Arizona
Yn Choowait	Kuwait
Yn Laos	Laos
Yn Livaan	Libanon
Oregon	Oregon
Ny Maldeevaghyn	Malediven
Utah	Utah
Yn Valaysia	Malaysia
Myanmar	Myanmar
Nepaal	Nepal
Yn Omaan	Oman
Yn Phakistaan	Pakistan
Yn Chatar	Katar
Yn Araab Saudi	Saudi-Arabien
Sri Lanka	Sri Lanka
Yn Teer	Syrien
Gallium	Gallium
Yn Tajikistaan	Tadschikistan
Pobblaght ny Sheen	Republik China (Taiwan)
Germaanium	Germanium
Yn Çheer Thai	Thailand
Traen	Zug (Eisenbahn)
Arsnick	Arsen
Radio	Hörfunk
Yn Turkmenistaan	Turkmenistan
Shellainium	Selen
Iriddjum	Iridium
Ny h-Emmiraidyn Arabagh Unnaneysit	Vereinigte Arabische Emirate
Bromeen	Brom
Platinum	Platin
Yn Vietnam	Vietnam
Novosibirsk	Nowosibirsk
Yn Chorea Yiass	Südkorea
Krypton	Krypton
Yn Afghanistaan	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Rubiddjum	Rubidium
Airh	Gold
Yn Vangladesh	Bangladesch
Rostov-na-Donu	Rostow am Don
Malee	Mali
Angoley	Angola
Yn Vutaan	Bhutan
Brunei	Brunei
Tanzania	Tansania
Mercur	Quecksilber
Ny h-Ellanyn Philippeenagh	Philippinen
Pobblaght yn Affrick Veanagh	Zentralafrikanische Republik
Thallium	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroinçhum	Strontium
Yttrium	Yttrium
Bismut	Bismut
Yn Togo	Togo
Yn Tooneesh	Tunesien
Yn Tambia	Sambia
Yn Çhimbabwe	Simbabwe
Beijing	Peking
Yn Toodaan Yiass	Südsudan
Benin	Benin
Yn Votswaan	Botswana
Burkina Faso	Burkina Faso
Burundee	Burundi
Ny h-Ellanyn Chomoro	Komoren
Pobblaght ny Congo	Republik Kongo
Pobblaght Gheynlagh ny Congo	Demokratische Republik Kongo
Djibouti	Dschibuti
Polonium	Polonium
Yn Vaveyr	Bayern
Guinea Chryss ny Cruinney	Äquatorialguinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Delhi Noa	Neu-Delhi
Tbilisi	Tiflis
Astatçheen	Astat
Gabon	Gabun
Caslys-skeeal	Comic
Yn Ghambia	Gambia
Yn Ghuinea	Guinea
Yn Ghuinea-Bissau	Guinea-Bissau
Yn Clyst Iuaagagh	Elfenbeinküste
Cameroon	Kamerun
Yn Rheynn Ghlass	Kap Verde
Lesoto	Lesotho
Yn Laibeer	Liberia
Yn Leeb	Libyen
Madagascar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Yn Varitaan	Mauretanien
Ellan Wirrish	Mauritius
Yn Varoc	Marokko
Yn Vosambeeck	Mosambik
Yn Nameeb	Namibia
Yn Neegeyr	Niger
Yn Naigeer	Nigeria
Charles Darwin	Charles Darwin
Ooganda	Uganda
Rooandey	Ruanda
Shirconium	Zirconium
São Tomé as Príncipe	São Tomé und Príncipe
Yn Tenegaal	Senegal
Ny h-Ellanyn Heshell	Seychellen
Carolus Linnaeus	Carl von Linné
Sierra Leone	Sierra Leone
Yn Tomaal	Somalia
Neeobium	Niob
Jool Kaesar	Gaius Iulius Caesar
Yn Toodaan	Sudan
Yn Çheer Swassee	Swasiland
Goal twoaie	Regenbogen
Molybdenum	Molybdän
Çheghnaiçhum	Technetium
Hamburg	Hamburg
Ny h-Ashoonyn Unnaneysit	Vereinte Nationen
Dante Alighieri	Dante Alighieri
Çheer-oaylleeaght	Geographie
Ennymockle	Substantiv
Praag	Prag
Rutainium	Ruthenium
Roydjum	Rhodium
Pallaadjum	Palladium
Argid (bunstoo)	Silber
Cadmium	Cadmium
Limburg, y Çheer Injil	Provinz Limburg (Niederlande)
Indjum	Indium
Stainney	Zinn
Uraanium	Uran
Antimoan	Antimon
Çhellurium	Tellur
Brabant Hwoaie	Provinz Nordbrabant
Plutonium	Plutonium
Eeadeen	Iod
Nepçhunium	Neptunium
Xenon	Xenon
Kaishum	Caesium
Protaghtinnium	Protactinium
Baarium	Barium
Thorium	Thorium
Hafnium	Hafnium
Aghtinnium	Actinium
Tantalum	Tantal
Bill Clinton	Bill Clinton
Raadjum	Radium
Raadon	Radon
Auvergne (ard)	Auvergne
Michigan	Michigan
Aquitaine	Aquitanien
Yn Phurt Verçhagh	Puerto Rico
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Niedersachsen	Niedersachsen
Yn Rhine Hwoaie-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Çheer ny Rhiney as y Phalateenaght	Rheinland-Pfalz
Saarland	Saarland
Sachsen	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thüringen
Sachsen-Anhalt	Sachsen-Anhalt
Dakota Hwoaie	North Dakota
Brandenburg	Brandenburg
Bremen (steat)	Freie Hansestadt Bremen
Dakota Yiass	South Dakota
Montana	Montana
Wyoming	Wyoming
Jerusalem	Jerusalem
Idaho	Idaho
Washington	Washington (Staat)
Rutherfordium	Rutherfordium
Nevada	Nevada
Dubnium	Dubnium
Seeborgium	Seaborgium
Yn Keayn Injinagh	Indischer Ozean
Kosovo	Kosovo
Yn Vooir Charibagh	Karibisches Meer
Bohrium	Bohrium
Hassium	Hassium
Meitnerium	Meitnerium
Colorado	Colorado
Darmstadtium	Darmstadtium
Frédéric Chopin	Frédéric Chopin
Roentgenium	Roentgenium
Copernicium	Copernicium
Chicago	Chicago
The Beatles	The Beatles
Oonoontrium	Ununtrium
Flerovium	Flerovium
Oonoonpençhum	Ununpentium
Livermorium	Livermorium
Oonoonsepçhum	Ununseptium
Oonoonoctium	Ununoctium
Geurey	Winter
Arragh	Frühling
Sourey	Sommer
Fouyr (imbagh)	Herbst
Spaainish	Spanische Sprache
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Kiaulldramey	Oper
Yn Virjeeney	Virginia
Yn Virjeeney Heear	West Virginia
York Noa (steat)	New York (Bundesstaat)
Kerrium	Cer
Prashodymmium	Praseodym
Ellan Rhode	Rhode Island
Niodymium	Neodym
