非洲	Afrika
日本	Japan
南美洲	Südamerika
Nò-vî	Norwegen
Sû-kak-làn	Schottland
Vî-ngì-sṳ̂	Wales
Pet Oi-ngì-làn	Nordirland
Hiûng-ngà-li	Ungarn
Sî-pân-ngà	Spanien
Mî-koet	Vereinigte Staaten
Pí-li-sṳ̀	Belgien
Lù-sêm-pó	Luxemburg
Yî-chhiu	Universum
Thi-khiù	Erde
Sâng-miang	Leben
Ngìn-lui	Mensch
George Washington	George Washington
Fûn-làn	Finnland
Shuì-tién	Schweden
Tan-ma̍k	Dänemark
Pô-làn	Polen
Li̍p-thâu-vón	Litauen
Yi-thai-li	Italien
Shuì-sṳ	Schweiz
O-thi-li	Österreich
Hî-lia̍p	Griechenland
Thú-ngí-khì	Türkei
Phù-thò-ngà	Portugal
歐洲	Europa
亞洲	Asien
北美洲	Nordamerika
南極洲	Antarktika
Vì-kî Pak-khô	Wikipedia
Hò-làn	Niederlande
Néu-yok-sṳ	New York City
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Washington, D.C.
Khiu-kîm-sân	San Francisco
Pak-lìm	Berlin
Lo̍k-chhám-kî	Los Angeles
Thien-nó	Computer
Mióng-chi-mióng-lu	Internet
Barack Obama	Barack Obama
Vû-lâ-kûi	Uruguay
Lùn-tûn	London
Pâ-lì-sṳ	Paris
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google Inc.
Me̍t-sî-kô	Mexiko
Thai-sî-yòng	Atlantischer Ozean
Thai-phìn-yòng	Pazifischer Ozean
Kâ-li-fuk-nì-â	Kalifornien
Pô-sṳ-tun	Boston
Fó-sên	Mars (Planet)
Âi-set-ngò-pí-â	Äthiopien
Sṳ̂-é	Löwe
Fap-koet	Frankreich
Sṳ-kie-ngî	Esperanto
Kiéu-è	Haushund
Yîn-koet	Vereinigtes Königreich
Meu-é	Hauskatze
中華人民共和國	Volksrepublik China
Fap-ngî	Französische Sprache
Ǹg-è	Fische
Pâ-sî	Brasilien
François Hollande	François Hollande
Ngò-lò-sṳ̂	Russland
Kîn-ǹg	Wale
Chang-fông-hìn	Quadrat
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabama
Québec-sén	Québec
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Deutschland
Pha̍k-ngò-lò-sṳ̂	Weißrussland
Tet-ngî	Deutsche Sprache
Pên-tó	Island
Song-ti	Gott
Oi-sâ-nì-â	Estland
David Cameron	David Cameron
Thú-sên	Saturn (Planet)
Ku-thin-yi̍t Fî-kî	Flugzeug
1	Eins
2	Zwei
3	Drei
4	Vier
5	Fünf
George W. Bush	George W. Bush
Lâ-thot-vì-â	Lettland
Vû-khiet-làn	Ukraine
Tshia̍p-khiet	Tschechien
Sṳ̂-lo̍k-vì-nì-â	Slowenien
Lò-mâ-nì-â	Rumänien
Pó-kâ-li-â	Bulgarien
Lò-mâ	Rom
Mâ-khì-tun	Mazedonien
Â-ngì-pâ-nì-â	Albanien
Khiet-lò-âi-sî-â	Kroatien
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bosnien und Herzegowina
Â-set-pai-kiông	Aserbaidschan
Set-phû-lu-sṳ̂	Republik Zypern
Kak-lû-kit-â	Georgien
Hâ-sat-khiet-sṳ̂-thán	Kasachstan
Mí-li-thai	Malta
Mô-na̍p-kô	Monaco
Mùng-thi̍t-nui-kô-lò	Montenegro
Sṳn Mâ-li-nok	San Marino
Kú-pâ	Kuba
Eiffel Thiet-thap	Eiffelturm
Yin-thu-nì-sî-â	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Pi-tô-fûn	Ludwig van Beethoven
Thú-ngí-khì-ngî	Türkische Sprache
Nàm-fî	Südafrika
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Usbekistan
Pô-tsṳ-nàm	Posen
Fà-sâ	Warschau
Súi	Wasser
Thien-sṳ	Fernsehen
Chṳ-li	Chile
Yâ-sû	Jesus Christus
Súi-sên	Merkur (Planet)
Li̍t-sṳ́	Geschichte
Phìn-kó Kûng-sṳ̂	Apple
Kîm-sên	Venus (Planet)
Ngî-ngièn	Sprache
Muk-sên	Jupiter (Planet)
Thiên-vòng-sên	Uranus (Planet)
Hói-vòng-sên	Neptun (Planet)
Thiên-vùn-ho̍k	Astronomie
Sîn-kâ-po	Singapur
Khô-ho̍k	Wissenschaft
Montréal	Montreal
Lie̍t-kî-tûn-sṳ-tên	Liechtenstein
Kiam-khiâu	Cambridge
Thi-ngi-chhṳ Sṳ-kie Thai-chan	Zweiter Weltkrieg
Cologne	Köln
Kak-tên-nì-â	Gdynia
Sṳ̍p-chhiet-chhiâng	Stettin
Sṳ-ho̍k	Mathematik
Lâ-tên-ngî	Latein
Pâ-lìm	Bahrain
Â-mî-nì-â	Armenien
Set-ngì-vì-â	Serbien
Ngie̍t-khiù	Mond
Àu-thai-li-â	Australien
Vu̍t-lî-ho̍k	Physik
Â-kîn-thìn	Argentinien
Pi-lû	Peru
Sâng-vu̍t-ho̍k	Biologie
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	Nordkorea
Kán-pu-chhài	Kambodscha
Khiúng-liùng	Dinosaurier
Yî-sṳ̂-làn-kau	Islam
Lech Wałęsa	Lech Wałęsa
Lin-é	Rad
Lyon	Lyon
Êu-chû Lièn-mèn	Europäische Union
Rhône-Alpes	Rhône-Alpes
Chhiòn-khiù Chṳ̂-sín Mióng	World Wide Web
Ńg-ngìn	Frau
Fâ	Blüte
Mâ-lî-â-na̍p-hói	Marianengraben
Chû-mu̍k-lòng-mâ-fûng	Mount Everest
Sàng-sṳ	Stadt
Nâ-pho-lùn yit-sṳ	Napoleon Bonaparte
Ngit-tèu	Sonne
Pâ-sṳ-tet	Louis Pasteur
大洋洲	Ozeanien
Thai-yòng Hì	Sonnensystem
Pô-lò-tit-hói	Ostsee
Ngâ-chhṳ	Zahn
Khîn	Wasserstoff
Hoi (氦)	Helium
Angela Merkel	Angela Merkel
Lî	Lithium
Phì	Beryllium
Si	Buch
Ngit	Tag
Ngièn	Jahr
Sṳ-ki	Jahrhundert
Lò-tsṳ (Pô-làn)	Łódź
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Bor
Thàn	Kohlenstoff
Tham	Stickstoff
Yòng	Sauerstoff
Hàng-sên	Planet
Yîm-ngo̍k	Musik
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moskau
Fuk	Fluor
Yi-thai-li-ngî	Italienische Sprache
Nái	Neon
Sṳn Pí-tet-páu	Sankt Petersburg
Na̍p	Natrium
北	Norden
Mî	Magnesium
Lî (鋁)	Aluminium
Néu Sî-làn	Neuseeland
南	Süden
Yin-thu	Indien
Si̍t	Silicium
Fap	Francium
Lìn	Phosphor
Thiet	Eisen
Tûng-kâ	Tonga
西	Westen
Liù-vòng	Schwefel
東	Osten
