Afrik	Afrika
Japon	Japan
Amerik disid	Südamerika
Nòvèj	Norwegen
Angletè	England
Ekòs	Schottland
Gal	Wales
Ilann dinò	Nordirland
Ilann	Irland
Ongri	Ungarn
Espay	Spanien
Etazini	Vereinigte Staaten
Bèljik	Belgien
Liksanbou (peyi)	Luxemburg
Linivè	Universum
Latè	Erde
Lavi	Leben
Lanmò	Tod
Homo sapiens	Mensch
George Washington	George Washington
Fenlann	Finnland
Syèd	Schweden
Danmak	Dänemark
Polòy	Polen
Lityani	Litauen
Itali	Italien
Swis	Schweiz
Otrich	Österreich
Grès	Griechenland
Tiki	Türkei
Byè	Bier
Pòtigal	Portugal
Ewòp	Europa
Azi	Asien
Amerik dinò	Nordamerika
Antatik (kontinan)	Antarktika
Wikipedya	Wikipedia
Peyiba	Niederlande
Nouyòk	New York City
Wachintòn	Washington, D.C.
San Francisco, Kalifòni	San Francisco
Bèlen	Berlin
Los Angeles, Kalifòni	Los Angeles
Òdinatè	Computer
Bèn	Bern
Zirik	Zürich
Entènet	Internet
Barack Obama	Barack Obama
Irigwe	Uruguay
Lonn	London
Li Kè	Kairo
Alexandria, Vijini	Alexandria (Virginia)
Pari	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Meksik	Mexiko
Atlantik	Atlantischer Ozean
Pasifik	Pazifischer Ozean
Kalifòni	Kalifornien
Boston, Massachusetts	Boston
Lendi	Montag
Janvye	Januar
Fevriye	Februar
Mas (mwa)	März
Mas (planèt)	Mars (Planet)
Kenya	Kenia
Etyopi	Äthiopien
Gana	Ghana
Avril	April
Me	Mai
Jen	Juni
Jiyè	Juli
Out	August
Septanm	September
Oktòb	Oktober
Novanm	November
Desanm	Dezember
Madi	Dienstag
Mèkredi	Mittwoch
Jedi	Donnerstag
Vandredi	Freitag
Samdi	Samstag
Dimanch	Sonntag
Lyon	Löwe
Frans	Frankreich
Chen	Haushund
Wayòm Ini	Vereinigtes Königreich
Chat	Hauskatze
Tichat	Katzenjunges
Lang franse	Französische Sprache
Pwason	Fische
Brezil	Brasilien
Alkòl	Alkohole
Risi	Russland
Balèn	Wale
Kare	Quadrat
Lanmè	Meer
Pi (matematik)	Kreiszahl
Π	Pi (Buchstabe)
Alabama	Alabama
São Paolo	São Paulo
Kebèk	Québec
Almay	Deutschland
Byelorisi	Weißrussland
Alman	Deutsche Sprache
Islann	Island
Bondye	Gott
Estoni	Estland
Satin	Saturn (Planet)
Avyon	Flugzeug
Lagè	Krieg
1 (nonm)	Eins
2 (nonm)	Zwei
3 (nonm)	Drei
4 (nonm)	Vier
5 (nonm)	Fünf
0 (nonm)	Null
Rektang	Rechteck
Letoni	Lettland
Ikrèn	Ukraine
Tchèki	Tschechien
Slovaki	Slowakei
Sloveni	Slowenien
Vilnis	Vilnius
Moldavi	Moldawien
Woumani	Rumänien
Bilgari	Bulgarien
Ròm	Rom
Repiblik d Masedoni	Mazedonien
Albani	Albanien
Kroasi	Kroatien
Bosni ak Erzegovin	Bosnien und Herzegowina
Azerbaydjan	Aserbaidschan
Andora	Andorra
Chip	Republik Zypern
Jeoji	Georgien
Kazakstan	Kasachstan
Malt	Malta
Monako (kapital)	Monaco
Montenegwo	Montenegro
Vatikan	Vatikanstadt
Sen Maren (peyi)	San Marino
Briksèl	Region Brüssel-Hauptstadt
Kiba	Kuba
Beliz	Belize
Lababad	Barbados
Java	Java (Programmiersprache)
Endonezi	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Afrik disid (peyi)	Südafrika
Aljeri	Algerien
Ouzbekistan	Usbekistan
Tachkènt	Taschkent
Vasovi	Warschau
Diven	Wein
Dlo	Wasser
Kwi	Leder
Bwa	Holz
Chili	Chile
Jezi	Jesus Christus
Galileo Galilei	Galileo Galilei
Mèki (planèt)	Merkur (Planet)
Istwa	Geschichte
Apple	Apple
Venis (planèt)	Venus (Planet)
Lang (pawòl)	Sprache
Galaksi	Galaxie
Jipitè (planèt)	Jupiter (Planet)
Teyori big-bang	Urknall
Iranis	Uranus (Planet)
Neptin (planèt)	Neptun (Planet)
Astwonomi	Astronomie
Sengapou (peyi)	Singapur
Syans	Wissenschaft
Pliton	Pluto
Monreyal (komin)	Montreal
Avni	Zukunft
Lichtènstayn	Liechtenstein
Espò (divètisman)	Sport
Adolf Hitler	Adolf Hitler
Ubuntu	Ubuntu
Skopje	Skopje
Linux	Linux
Matematik	Mathematik
Barayn	Bahrain
Ameni	Armenien
Sèbi	Serbien
Lalin	Mond
Istanboul	Istanbul
Ostrali	Australien
Bob Marley	Bob Marley
Fizik	Physik
Ajantin	Argentinien
Telekominikasyon	Telekommunikation
Pewou	Peru
Biyoloji	Biologie
Kore dinò	Nordkorea
Kanbòdj	Kambodscha
Dinozò	Dinosaurier
