Աֆրիկա	Afrika
Ճապոնիա	Japan
Հարավային Ամերիկա	Südamerika
Նորվեգիա	Norwegen
Անգլիա	England
Շոտլանդիա	Schottland
Ուելս	Wales
Հյուսիսային Իռլանդիա	Nordirland
Իռլանդիա	Irland
Հունգարիա	Ungarn
Իսպանիա	Spanien
Ամերիկայի Միացյալ Նահանգներ	Vereinigte Staaten
Բելգիա	Belgien
Լյուքսեմբուրգ	Luxemburg
Տիեզերք	Universum
Երկիր	Erde
Կյանք	Leben
Մահ	Tod
Մարդ բանական	Mensch
Երջանկություն	Glück
Ջորջ Վաշինգտոն	George Washington
Դուգլաս Ադամս	Douglas Adams
Imagine (երգ)	Imagine (Lied)
Սթենլի Կուբրիկ	Stanley Kubrick
Վիքիշտեմարան	Wikidata
Ֆինլանդիա	Finnland
Շվեդիա	Schweden
Դանիա	Dänemark
Լեհաստան	Polen
Լիտվա	Litauen
Իտալիա	Italien
Շվեյցարիա	Schweiz
Ավստրիա	Österreich
Հունաստան	Griechenland
Թուրքիա	Türkei
Գարեջուր	Bier
Պորտուգալիա	Portugal
Եվրոպա	Europa
Ասիա	Asien
Հյուսիսային Ամերիկա	Nordamerika
Անտարկտիդա	Antarktika
Վիքիպեդիա	Wikipedia
Նիդեռլանդներ	Niederlande
PHP	PHP
Նյու Յորք	New York City
Վաշինգտոն ԿՇ	Washington, D.C.
Սան Ֆրանցիսկո	San Francisco
Բեռլին	Berlin
Լոս Անջելես	Los Angeles
Բոինգ	Boeing
Airbus	Airbus
Համակարգիչ	Computer
Բեռն	Bern
Ժնև	Genf
Ցյուրիխ	Zürich
Համացանց	Internet
Բարաք Օբամա	Barack Obama
Ուրուգվայ	Uruguay
Բազել	Basel
Տպիչ	Drucker (Gerät)
ՄեդիաՎիքի	MediaWiki
Լոնդոն	London
Կահիրե	Kairo
Ալեքսանդրիա	Alexandria
Ալեքսանդրիա (Վիրջինիա)	Alexandria (Virginia)
Փարիզ	Paris
Աբրահամ Լինքոլն	Abraham Lincoln
Անդրոիդ	Android (Betriebssystem)
Մեքսիկա	Mexiko
Ատլանտյան օվկիանոս	Atlantischer Ozean
Խաղաղ օվկիանոս	Pazifischer Ozean
Կալիֆորնիա	Kalifornien
Բոստոն	Boston
Երկուշաբթի	Montag
Տարածություն	Raum (Physik)
Հունվար	Januar
Փետրվար	Februar
Մարտ	März
Մարս (մոլորակ)	Mars (Planet)
Քենիա	Kenia
Եթովպիա	Äthiopien
Գանա	Ghana
Ապրիլ	April
Մայիս	Mai
Հունիս	Juni
Հուլիս	Juli
Օգոստոս	August
Սեպտեմբեր	September
Հոկտեմբեր	Oktober
Նոյեմբեր	November
Դեկտեմբեր	Dezember
Երեքշաբթի	Dienstag
Չորեքշաբթի	Mittwoch
Հինգշաբթի	Donnerstag
Ուրբաթ	Freitag
Շաբաթ (օր)	Samstag
Կիրակի	Sonntag
Փիղ (շախմատ)	Läufer (Schach)
Զինվոր (շախմատ)	Bauer (Schach)
Ձի (շախմատ)	Springer (Schach)
Նավակ (շախմատ)	Turm (Schach)
Արքա (շախմատ)	König (Schach)
Թագուհի (շախմատ)	Dame (Schach)
Առյուծ	Löwe
Ֆրանսիա	Frankreich
Էսպերանտո	Esperanto
Շուն	Haushund
Միացյալ Թագավորություն	Vereinigtes Königreich
Կատուներ	Hauskatze
Չինաստանի Ժողովրդական Հանրապետություն	Volksrepublik China
Ֆրանսերեն	Französische Sprache
Վիքիբառարան	Wiktionary
Ձկներ	Fische
Էթիլ սպիրտ	Ethanol
Բրազիլիա	Brasilien
Սպիրտ	Alkohole
Ֆրանսուա Օլանդ	François Hollande
Ռուսաստան	Russland
Կետանմաններ	Wale
Մանրաթելեր	Faser
Օպտիկամանրաթելային մալուխ	Lichtwellenleiter
Քառակուսի	Quadrat
Ծով	Meer
Սև ծով	Schwarzes Meer
Պի թիվ	Kreiszahl
Պի (տառ)	Pi (Buchstabe)
Վիքի	Wiki
Տորոնտո	Toronto
Ալաբամա (նահանգ)	Alabama
Սան Պաուլո	São Paulo
Սան Պաուլու (նահանգ)	São Paulo (Bundesstaat)
Քվեբեկ	Québec
Պիցցա	Pizza
Մակարոնեղեն	Pasta
Բոինգ 747	Boeing 747
Վիքիմեդիա Հիմնադրամ	Wikimedia
Ջիմմի Ուելս	Jimmy Wales
Գերմանիա	Deutschland
Բելառուս	Weißrussland
Լարի Սանգեր	Larry Sanger
Իտալիայի օրհներգ	Fratelli d’Italia
Գերմաներեն	Deutsche Sprache
Իսլանդիա	Island
Աստված	Gott
Էստոնիա	Estland
Դևիդ Քեմերոն	David Cameron
Սատուրն (մոլորակ)	Saturn (Planet)
Սատուրնի օղակներ	Ringe des Saturn
Շոկոլադ	Schokolade
Ինքնաթիռ	Flugzeug
Պատերազմ	Krieg
1 (թիվ)	Eins
2 (թիվ)	Zwei
3 (թիվ)	Drei
