Afrịka	Afrika
South Amerika	Südamerika
Spain	Spanien
Njikota Obodo Amerika	Vereinigte Staaten
Àlà	Erde
Mádu	Mensch
Finland	Finnland
Poland	Polen
Turkéy	Türkei
Obodo Békè	Europa
Asia	Asien
Olile anyanwu Amerika	Nordamerika
Antarctica	Antarktika
Wikipedia	Wikipedia
New York City	New York City
Orunotu	Computer
Intanet	Internet
Barack Obama	Barack Obama
MediaWiki	MediaWiki
London	London
Òrìmìlì Atlantic	Atlantischer Ozean
Òrìmìlì Pacific	Pazifischer Ozean
California	Kalifornien
Önwa mbu	Januar
February	Februar
March	März
Ethiopia	Äthiopien
Ghana	Ghana
Önwa ànó	April
May	Mai
Önwa ishií	Juni
July	Juli
August	August
September	September
October	Oktober
Önwa iri na otụ	November
Disemba	Dezember
Odúm	Löwe
Obodoézè Nà Ofú	Vereinigtes Königreich
Wiktionary	Wiktionary
Brazil	Brasilien
Mpaghara Russia	Russland
Wiki	Wiki
Alabama	Alabama
Jimmy Wales	Jimmy Wales
Jémanị	Deutschland
Larry Sanger	Larry Sanger
Otu	Eins
Abụo	Zwei
Atọ	Drei
Anọ	Vier
Ise	Fünf
0 (Ónúọgụgụ)	Null
Yukrain	Ukraine
Barbados	Barbados
Algeria	Algerien
Wikisource	Wikisource
Ńkú	Holz
Jisọs Kraịst	Jesus Christus
Ákíkó mbu	Geschichte
Ihunanya	Liebe
Wikipedia nke ndị bekee	Englischsprachige Wikipedia
Amamihe	Wissenschaft
Wikibooks	Wikibooks
Wikiquote	Wikiquote
Ubuntu	Ubuntu
Ọmúmú-ónúọgụgụ	Mathematik
Ostraliya	Australien
Bob Marley	Bob Marley
Physics	Physik
Áláküba	Islam
Lech Wałęsa	Lech Wałęsa
Ábu	Poesie
Ìfulū	Blüte
Ama ukwu	Stadt
Ogbè	Dorf
Wikimedia Commons	Wikimedia Commons
Chad	Tschad
Ndia	Indien
Mën	Maine
Ǹkà	Kunst
Osisi	Pflanzen
Hampshire Ohúrú	New Hampshire
Jamaikạ	Jamaika
Másáchusẹts	Massachusetts
Kónétíkùt	Connecticut
Hawaii	Hawaii
Dominika	Dominica
Arctic Ocean	Arktischer Ozean
Àláskà	Alaska
Israel	Israel
Flórídạ	Florida
Arizona	Arizona
Oregon	Oregon
Amerikas	Amerika
Yútạh	Utah
Charlie Chaplin	Charlie Chaplin
Angola	Angola
Albert Einstein	Albert Einstein
Togo	Togo
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Eritrea	Eritrea
Pope John Paul II	Johannes Paul II.
Gabon	Gabun
Kameroon	Kamerun
Cape Verde	Kap Verde
Niger	Niger
Naigeria	Nigeria
Julius Caesar	Gaius Iulius Caesar
Sudan	Sudan
Ọmúmú-àlà	Geographie
Àgwà	Farbe
Michigan	Michigan
Ilinoi	Illinois
North Dakota	North Dakota
Sawt Dakótạ	South Dakota
Montana	Montana
Waịómịn	Wyoming
Jerusalem	Jerusalem
Idaho	Idaho
Washington (nkeji obodo)	Washington (Staat)
Náevadạ	Nevada
Òrìmìlì India	Indischer Ozean
Colorado	Colorado
Òtù:Ébé ihe nọr	Kategorie:!Hauptkategorie
Chicago	Chicago
Végíníyà	Virginia
West Virginia	West Virginia
Nú Yọk	New York (Bundesstaat)
Àlá mmírí Rhode	Rhode Island
Mérílạnd	Maryland
Déláwè	Delaware
Ohaïyo	Ohio
Pensílvéníyạ	Pennsylvania
Uetersen	Uetersen
Nú Jezị	New Jersey
Ndiánà	Indiana
Jorjiạ	Georgia
Texas	Texas
Nort Kárólínạ	North Carolina
Nleda anyanwu Kàròlina	South Carolina
Mississippi	Mississippi (Staat)
Tennessee	Tennessee
Nú Mézíkọ	New Mexico
Minésótạ	Minnesota
Coordinated Universal Time	Koordinierte Weltzeit
Wiskonsin	Wisconsin
Áyowạ	Iowa
Nebraska	Nebraska
Kánzạs	Kansas
Mizurị	Missouri
Luwisiánà	Louisiana
Kentórkị	Kentucky
Arkinsọ	Arkansas
Oklahoma	Oklahoma
Akwụkwọ Nsọ	Bibel
Ho Chi Minh City	Ho-Chi-Minh-Stadt
Ezigbo ulo uka Jesu	Wahre Jesus-Kirche
Asụsụ Inglish	Englische Sprache
Đồng Hới	Đồng Hới
Końskowola	Końskowola
2000	2000
2003	2003
2001	2001
2005	2005
2007	2007
1909	1909
1991	1991
1993	1993
1996	1996
1998	1998
1999	1999
Önwa mbu 1	1. Januar
Önwa mbu 2	2. Januar
Önwa mbu 3	3. Januar
Önwa mbu 4	4. Januar
Önwa mbu 5	5. Januar
Önwa mbu 6	6. Januar
Önwa mbu 7	7. Januar
Önwa mbu 8	8. Januar
Önwa mbu 9	9. Januar
10 Jenụwarị	10. Januar
11 Jenụwarị	11. Januar
Önwa mbu 12	12. Januar
