Africa	Afrika
Xapon	Japan
Ixachitlān Huitztlāmpa	Südamerika
Noruega	Norwegen
Inglatlālpan	England
Wales	Wales
Irtlālpan	Irland
Hungria	Ungarn
Caxtillān	Spanien
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	Vereinigte Staaten
Belgica	Belgien
Luxemburgo	Luxemburg
Cemānāhuac	Universum
Tlālticpactli	Erde
Miquiztli	Tod
Tlācatl	Mensch
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Fintlālpan	Finnland
Suecia	Schweden
Dinamarca	Dänemark
Polonia	Polen
Lituania	Litauen
Italia	Italien
Suiza	Schweiz
Austria	Österreich
Grecia	Griechenland
Turquia	Türkei
Portugal	Portugal
Europan	Europa
Asia	Asien
Ixachitlān Mictlāmpa	Nordamerika
Antartida	Antarktika
Huiquipedia	Wikipedia
Tlanitlālpan	Niederlande
Tepōlli	Penis
Āltepētl Yancuīc York	New York City
Washington, D.C.	Washington, D.C.
San Francisco, California	San Francisco
Berlin	Berlin
Los Ángeles	Los Angeles
Chīuhpōhualhuaztli	Computer
Berna	Bern
Zurich	Zürich
Mātlatzālantli	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	London
In Cairo	Kairo
Alexandria	Alexandria
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google Inc.
Mēxihco	Mexiko
Ilhuicaātl Atlántico	Atlantischer Ozean
Tēpāpāquiltiliztli Ilhuicaātl	Pazifischer Ozean
California	Kalifornien
Mētztlitōnal	Montag
Ic cē mētztli	Januar
Ic ōme mētztli	Februar
Ic ēyi mētztli	März
Chīchīlcītlalli	Mars (Planet)
Quenia	Kenia
Etiopia	Äthiopien
Ghana	Ghana
Ic nāuhtetl mētztli	April
Ic mācuīlli mētztli	Mai
Ic chicuacen mētztli	Juni
Ic chicōme mētztli	Juli
Ic chicuēyi mētztli	August
Ic chiucnāhui mētztli	September
Ic mahtlāctetl mētztli	Oktober
Ic mahtlāctetl oncē mētztli	November
Ic mahtlāctetl omōme mētztli	Dezember
Huītzilōpōchtōnal	Dienstag
Yacatlipotōnal	Mittwoch
Tezcatlipotōnal	Donnerstag
Quetzalcōātōnal	Freitag
Tlāloctitōnal	Samstag
Tōnatiuhtōnal	Sonntag
Cuāmiztli	Löwe
Francia	Frankreich
Esperantotlahtōlli	Esperanto
Itzcuintli	Haushund
Tlacetilīlli Huēyitlahtohcāyōtl	Vereinigtes Königreich
Miztōn	Hauskatze
China	Volksrepublik China
Franciatlahtōlli	Französische Sprache
Michin	Fische
Octli	Alkoholisches Getränk
Brasil	Brasilien
Rusia	Russland
Huēyātl	Meer
Π	Pi (Buchstabe)
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo
São Paulo (tlahtohcāyōtl)	São Paulo (Bundesstaat)
Quebec	Québec
Jimmy Wales	Jimmy Wales
Alemania	Deutschland
Belarus	Weißrussland
Alemantlahtōlli	Deutsche Sprache
Iztlālpan	Island
Estonia	Estland
Tzitzimicītlalli	Saturn (Planet)
Xocolātl	Schokolade
Tepoztōtōtl	Flugzeug
Cē (tlapōhualli)	Eins
Ōme	Zwei
Ēyi	Drei
Nāhui	Vier
Mācuīlli	Fünf
George W. Bush	George W. Bush
Letonia	Lettland
Ucrania	Ukraine
Chequia	Tschechien
Eslovaquia	Slowakei
Eslovenia	Slowenien
Vilnius	Vilnius
Moldova	Moldawien
Rumania	Rumänien
Bulgaria	Bulgarien
Roma	Rom
Tlācatlahtohcāyōtl Macedonia	Mazedonien
Albania	Albanien
Groentlālpan	Grönland
Croacia	Kroatien
Bosnia īhuān Hertzegovina	Bosnien und Herzegowina
Nuuk	Nuuk
Azerbaiyan	Aserbaidschan
Andorra	Andorra
Chipre	Republik Zypern
Georgia	Georgien
Cazaquistan	Kasachstan
Malta	Malta
Flandes	Flandern
Monaco	Monaco
Tlīltepēc	Montenegro
In Vaticano	Vatikanstadt
San Marino	San Marino
Brusel	Stadt Brüssel
Cuba	Kuba
Belice	Belize
Eiffel Huehcapan Calli	Eiffelturm
Barbados	Barbados
Volkswagen	Volkswagen
Volkswagen Golf	VW Golf
Indonesia	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Africa Huitztlāmpa	Südafrika
Argelia	Algerien
Ehecanamictiliztli Sandy	Hurrikan Sandy
Uzbequistan	Usbekistan
Poznan	Posen
Varsovia	Warschau
Modena	Modena
Huino	Wein
Ātl	Wasser
Huehcaīxipcaxitl	Fernsehen
Iztlahtōlli	Isländische Sprache
Chile	Chile
Jesucristo	Jesus Christus
Elvis Presley	Elvis Presley
Galileo Galilei	Galileo Galilei
Payīnalcītlalli	Merkur (Planet)
Huēhuehcāyōmatiliztli	Geschichte
Apple Computer	Apple
Cītlalpōl	Venus (Planet)
Tlahtōlli (tlahtōlmatiliztli)	Sprache
Tlazohtiliztli	Liebe
Huēyitzitzimicītlalli	Jupiter (Planet)
Cītlalin īcue (Ilhuicamatiliztli)	Milchstraße
Ilhuicateōcītlalli	Uranus (Planet)
Ricardo Lagos	Ricardo Lagos
Tlāloccītlalli	Neptun (Planet)
Ilhuicamatiliztli	Astronomie
Singapur	Singapur
Tlamatiliztli	Wissenschaft
Mictlāntēuccītlalli	Pluto
María Ichpōchtli	Maria (Mutter Jesu)
Liechtenstein	Liechtenstein
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Īyāōyo in Cemānāhuac Inic Cē	Erster Weltkrieg
Īyāōyo in Cemānāhuac Inic Ōme	Zweiter Weltkrieg
Köln	Köln
Vodka	Wodka
Tlapōhualtepoztli	Uhr
Tlapōhualmatiliztli	Mathematik
U2 (tlacuīcaliztli)	U2 (Band)
Latintlahtōlli	Latein
Bahrein	Bahrain
Armenia	Armenien
Serbia	Serbien
Mētztli	Mond
Estambul	Istanbul
Australia	Australien
Carl Sagan	Carl Sagan
Iuhcāyōtl	Physik
Argentina	Argentinien
Peru	Peru
Yōlizmatiliztli	Biologie
Corea Mictlāmpa	Nordkorea
Camboya	Kambodscha
Tēpouhtitlāzcuetzpalin	Dinosaurier
Islam	Islam
Pera	Birnen
Liubliana	Ljubljana
Tlanelhuayōmatiliztli	Botanik
Malacatl	Rad
Denis Diderot	Denis Diderot
Lyon	Lyon
Europan Cētiliztli	Europäische Union
Cihuātl	Frau
Sofiya	Sofia
Ñ	Ñ
El Ingenioso Hidalgo Don Quixote de la Mancha	Don Quijote
Xōchicuīcayōtl	Poesie
Milano	Mailand
Torino	Turin
Cuichilli	Anus
Limacuahuitl	Zitrone
Émile Zola	Émile Zola
666	666
Xōchitl	Blüte
Āltepētl	Stadt
Cītlalli	Stern
Tōnatiuh	Sonne
Ilhuicatl	Himmel (planetär)
Tlāhuīlxihuitl	Lichtjahr
Victor Hugo	Victor Hugo
Oceania	Ozeanien
Tonacayōhuapāhualiztli	Leichtathletik
Tōnatiuh Īchān	Sonnensystem
Baltico huēyātl	Ostsee
Āyōcoxqui	Wasserstoff
Tōnatiuhyoh	Helium
Angela Merkel	Angela Merkel
Iztactlāltepoztli	Beryllium
Āmoxtli	Buch
Tōnalli	Tag
Timor Tlāpcopa	Osttimor
Yohualli	Nacht
Xihuitl (cāhuitl)	Jahr
Mācuīlpōhualxihuitl	Jahrhundert
Lodz	Łódź
Oslo	Oslo
Bonn	Bonn
Katowice	Katowice
Tecuīlontiliztli	Gay
Ceres	(1) Ceres
Lisboa	Lissabon
Makemake	(136472) Makemake
Eris	(136199) Eris
Lionel Messi	Lionel Messi
Padova	Padua
Xacoiztatl	Bor
Mikołaj Kopernik	Nikolaus Kopernikus
Tecolli	Kohlenstoff
Ehēcatehuiltic	Stickstoff
Bergamo	Bergamo
Ehēcayoh	Sauerstoff
Nehnencācītlalli	Planet
Cuīcayōtl	Musik
Venezia	Venedig
Naruto	Naruto (Manga)
Moscohuia	Moskau
Italiatlahtōlli	Italienische Sprache
Techichi	Chihuahua (Hunderasse)
Yancuīquehēcatl	Neon
Chihuahhua	Chihuahua (Bundesstaat)
Sankt Peterburg	Sankt Petersburg
Chad	Tschad
Yancuīc Zetlālpan	Neuseeland
India	Indien
Tecpatepozteuh	Silicium
Tuvalu	Tuvalu
Tlīltic tepoztli	Eisen
Tonga	Tonga
Tlequiquiztlālli	Schwefel
Samoa	Samoa
Salomón Tlālhuāctli	Salomonen
Vanuatu	Vanuatu
Papua Yancuīc Guinea	Papua-Neuguinea
William Shakespeare	William Shakespeare
Palaos	Palau
Nauru	Nauru
Micronesia	Föderierte Staaten von Mikronesien
Tenextepoztli	Calcium
Temētztli	Blei
Marshall Tlālhuāctli	Marshallinseln
Quiribati	Kiribati
Mongolia	Mongolei
Fiyi	Fidschi
Venezuela	Venezuela
Cuappatōlli	Schach
Maine	Maine
Tlapāltepoztli	Chrom
Cahuāyoh	Hauspferd
Amsterdam	Amsterdam
Yōlcatl	Tier
Surinam	Suriname
Paraguay	Paraguay
Guyana	Guyana
Tōltēcayōtl	Kunst
Ecuador	Ecuador
Colombia	Kolumbien
Iztāctepoztli	Nickel
Bolivia	Bolivien
Chīchīltic tepoztli	Kupfer
Trinidad īhuān Tobago	Trinidad und Tobago
Tlanelhuayōtl	Pflanzen
San Vicente īhuān in Granadinas	St. Vincent und die Grenadinen
Yancuīc Hampshire	New Hampshire
Santa Lucía	St. Lucia
Leonardo da Vinci	Leonardo da Vinci
San Cristóbal īhuān Nevis	St. Kitts und Nevis
Nanacatl	Pilze
Xamaica	Jamaika
Granada (tlācatiyān)	Grenada
Massachusetts	Massachusetts
Cuauhtēmallān	Guatemala
Bahamas	Bahamas
Connecticut	Connecticut
Cuānaca	Haushuhn
Antigua īhuān Barbuda	Antigua und Barbuda
Hawaii	Hawaii
Honduras	Honduras
Dominica	Dominica
Domingotlācatlahtohcāyōtl	Dominikanische Republik
Ilhuicaātl Ártico	Arktischer Ozean
Haiti	Haiti
Cōzcatlān	El Salvador
Iran	Iran
Irac	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Israel	Israel
Utrecht	Utrecht
Panama	Panama
Yemen	Jemen
Poloniatlahtōlli	Polnische Sprache
Iordania	Jordanien
Nicānāhuac	Nicaragua
Florida	Florida
Quirhuistan	Kirgisistan
Arizona	Arizona
Cuhuait	Kuwait
Lao	Laos
Libano	Libanon
Oregon	Oregon
Maldivas	Malediven
Ixachitlān	Amerika
Utah	Utah
Cuācuahueh	Hausrind
Malasia	Malaysia
Mianma	Myanmar
Nepal	Nepal
Omān	Oman
Paquistan	Pakistan
Catar	Katar
Saudarabia	Saudi-Arabien
Sri Lanca	Sri Lanka
Siria	Syrien
Plátōn	Platon
Tayiquistan	Tadschikistan
Pokémon	Pokémon
Taihuan	Republik China (Taiwan)
YouTube	YouTube
Aristotelēs	Aristoteles
Taitlālpan	Thailand
Tepozcōātl	Zug (Eisenbahn)
Turcmenistan	Turkmenistan
Tlacetilīlli Arabiaemiryōtl	Vereinigte Arabische Emirate
Vietnam	Vietnam
Charles Chaplin	Charlie Chaplin
Novosibirsk	Nowosibirsk
Corea Huitztlāmpa	Südkorea
The Simpsons	Die Simpsons
Yekaterinburg	Jekaterinburg
Afganistan	Afghanistan
Nizhniy Novgorod	Nischni Nowgorod
J.R.R. Tolkien	J. R. R. Tolkien
Cōztic teōcuitlatl	Gold
Omsk	Omsk
Tlamatiliztlācatl	Wissenschaftler
Bangladex	Bangladesch
Chelyabinsk	Tscheljabinsk
Rostov na Donu	Rostow am Don
Mali	Mali
Sōcratēs	Sokrates
Volgograd	Wolgograd
Angola	Angola
Butan	Bhutan
Brunei	Brunei
Tanzania	Tansania
Yōliamochitl	Quecksilber
Roald Amundsen	Roald Amundsen
Filipinas	Philippinen
Tlācatlahtohcāyōtl Tlahco Africa	Zentralafrikanische Republik
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Cōztic	Gelb
Togo	Togo
Tunez	Tunesien
Zambia	Sambia
Zimbahue	Simbabwe
Pequin	Peking
Sudan Huitztlāmpa	Südsudan
Benin	Benin
Botzhuana	Botswana
Burquina Faso	Burkina Faso
Burundi	Burundi
Comoras	Komoren
Tlācatlahtohcāyōtl in Congo	Republik Kongo
Tlācatlahtohcāyōtl Tlācatēpacholiztli in Congo	Demokratische Republik Kongo
San Antonio, Texas	San Antonio
Yibuti	Dschibuti
Bavaria	Bayern
Guinea Tlahcotlālticpac	Äquatorialguinea
Baden-Württemberg	Baden-Württemberg
Eritrea	Eritrea
Yancuīc Delhi	Neu-Delhi
Ioannes Paulus II	Johannes Paul II.
Tibilisi	Tiflis
Conētzintli	Säugling
Gabon	Gabun
Gambia	Gambia
Guinea	Guinea
Guinea Bissau	Guinea-Bissau
Tlanomihuēyātēnco	Elfenbeinküste
Camerun	Kamerun
Cabo Xoxoctic	Kap Verde
Lesoto	Lesotho
Liberia	Liberia
Libia	Libyen
Madagascar	Madagaskar
Malahui	Malawi
Stuttgart	Stuttgart
Mauritania	Mauretanien
Mauricio	Mauritius
Marruecos	Marokko
Mozambique	Mosambik
Namibia	Namibia
Niger	Niger
Nigeria	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Ruanda	Ruanda
Santo Tomé īhuān Tlahtohcāpilli	São Tomé und Príncipe
Senegal	Senegal
Seychelles	Seychellen
Sierra Leona	Sierra Leone
Somalia	Somalia
Nextictepoztli	Niob
Julius Caesar	Gaius Iulius Caesar
Sudan	Sudan
Suazitlālpan	Swasiland
Cōzamālōtl	Regenbogen
Hamburg	Hamburg
Tlacetilīlli Tlācatiyān	Vereinte Nationen
Dante Alighieri	Dante Alighieri
Tlālmatiliztli	Geologie
Cemānāhuacāyōtl	Geographie
Yōllōtl	Herz
Cuāyōllōtl	Gehirn
Cuetlaxtli	Haut
Tlapālli	Farbe
Praha	Prag
Texohtic	Blau
Iztāc teōcuitlatl	Silber
Amochitl	Zinn
Ilhuicateōtepoztli	Uran
Mictlāntēuctepoztli	Plutonium
Tlāloctepoztli	Neptunium
Anime	Anime
Nelnextictepoztli	Tantal
Bill Clinton	Bill Clinton
Mumbai	Mumbai
Michigan	Michigan
Aquitania	Aquitanien
Puerto Rico	Puerto Rico
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Pommern Cihuātlāmpa	Mecklenburg-Vorpommern
Tlani Saxonia	Niedersachsen
Rhein Mictlāmpa-Westfalen	Nordrhein-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rheinland-Pfalz
Saarland	Saarland
Saxonia	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Thüringen	Thüringen
Saxonia-Anhalt	Sachsen-Anhalt
Dakota Mictlāmpa	North Dakota
Brandenburg	Brandenburg
Bremen	Freie Hansestadt Bremen
Lombardia	Lombardei
Dakota Huitztlāmpa	South Dakota
Montana	Montana
Wyoming	Wyoming
Ierusalem	Jerusalem
Idaho	Idaho
Washington	Washington (Staat)
Nevada	Nevada
Ilhuicaātl Índico	Indischer Ozean
Cosovo	Kosovo
Huēyātl Caribe	Karibisches Meer
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Colorado	Colorado
