ਅਫ਼ਰੀਕਾ	Afrika
ਜਪਾਨ	Japan
ਦੱਖਣੀ ਅਮਰੀਕਾ	Südamerika
ਨਾਰਵੇ	Norwegen
ਇੰਗਲੈਂਡ	England
ਸਕਾਟਲੈਂਡ	Schottland
ਵੇਲਜ਼	Wales
ਉੱਤਰੀ ਆਇਰਲੈਂਡ	Nordirland
ਆਇਰਲੈਂਡ ਗਣਰਾਜ	Irland
ਹੰਗਰੀ	Ungarn
ਸਪੇਨ	Spanien
ਸੰਯੁਕਤ ਰਾਜ ਅਮਰੀਕਾ	Vereinigte Staaten
ਬੈਲਜੀਅਮ	Belgien
ਲਕਸਮਬਰਗ	Luxemburg
ਧਰਤੀ	Erde
ਜੀਵਨ	Leben
ਮੌਤ	Tod
ਮਨੁੱਖ	Mensch
ਖ਼ੁਸ਼ੀ	Glück
ਜਾਰਜ ਵਾਸ਼ਿੰਗਟਨ	George Washington
ਇਮੈਜਿਨ (ਗੀਤ)	Imagine (Lied)
ਫ਼ਿਨਲੈਂਡ	Finnland
ਸਵੀਡਨ	Schweden
ਡੈੱਨਮਾਰਕ	Dänemark
ਪੋਲੈਂਡ	Polen
ਲਿਥੁਆਨੀਆ	Litauen
ਇਟਲੀ	Italien
ਸਵਿਟਜ਼ਰਲੈਂਡ	Schweiz
ਆਸਟਰੀਆ	Österreich
ਯੂਨਾਨ	Griechenland
ਤੁਰਕੀ	Türkei
ਪੁਰਤਗਾਲ	Portugal
ਯੂਰਪ	Europa
ਏਸ਼ੀਆ	Asien
ਉੱਤਰੀ ਅਮਰੀਕਾ	Nordamerika
ਅੰਟਾਰਕਟਿਕਾ	Antarktika
ਵਿਕੀਪੀਡੀਆ	Wikipedia
ਨੀਦਰਲੈਂਡ	Niederlande
ਸ਼ਿਸ਼ਨ	Penis
ਨਿਊਯਾਰਕ ਸ਼ਹਿਰ	New York City
ਵਾਸ਼ਿੰਗਟਨ, ਡੀ.ਸੀ.	Washington, D.C.
ਸਾਨ ਫ਼ਰਾਂਸਿਸਕੋ	San Francisco
ਬਰਲਿਨ	Berlin
ਲਾਸ ਐਂਜਲਸ	Los Angeles
ਕੰਪਿਊਟਰ	Computer
ਬਰਨ	Bern
ਜਨੇਵਾ	Genf
ਜ਼ਿਊਰਿਖ	Zürich
ਇੰਟਰਨੈੱਟ	Internet
ਬਰਾਕ ਓਬਾਮਾ	Barack Obama
ਉਰੂਗੁਏ	Uruguay
ਲੰਡਨ	London
ਕਾਹਿਰਾ	Kairo
ਸਿਰਦਰਦ	Kopfschmerz
ਸਿਕੰਦਰੀਆ	Alexandria
ਪੈਰਿਸ	Paris
ਅਬਰਾਹਮ ਲਿੰਕਨ	Abraham Lincoln
ਐਂਡ੍ਰਾਇਡ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Android (Betriebssystem)
ਗੂਗਲ	Google Inc.
ਮੈਕਸੀਕੋ	Mexiko
ਅੰਧ ਮਹਾਂਸਾਗਰ	Atlantischer Ozean
ਪ੍ਰਸ਼ਾਂਤ ਮਹਾਂਸਾਗਰ	Pazifischer Ozean
ਕੈਲੀਫ਼ੋਰਨੀਆ	Kalifornien
ਬੌਸਟਨ	Boston
ਸੋਮਵਾਰ	Montag
ਵਿਸਥਾਰ	Raum (Physik)
ਜਨਵਰੀ	Januar
ਫ਼ਰਵਰੀ	Februar
ਮਾਰਚ	März
ਮੰਗਲ (ਗ੍ਰਹਿ)	Mars (Planet)
ਮਾਰਸ	Mars (Mythologie)
ਕੀਨੀਆ	Kenia
ਇਥੋਪੀਆ	Äthiopien
ਰਾਜਾ	Herrschertitel
ਘਾਨਾ	Ghana
ਅਪ੍ਰੈਲ	April
ਮਈ	Mai
ਜੂਨ	Juni
ਜੁਲਾਈ	Juli
ਅਗਸਤ	August
ਸਤੰਬਰ	September
ਅਕਤੂਬਰ	Oktober
ਨਵੰਬਰ	November
ਦਸੰਬਰ	Dezember
ਮੰਗਲਵਾਰ	Dienstag
ਬੁੱਧਵਾਰ	Mittwoch
ਵੀਰਵਾਰ	Donnerstag
ਸ਼ੁੱਕਰਵਾਰ	Freitag
ਸ਼ਨਿੱਚਰਵਾਰ	Samstag
ਐਤਵਾਰ	Sonntag
ਫ਼ਰਾਂਸ	Frankreich
ਏਸਪੇਰਾਂਤੋ	Esperanto
ਕੁੱਤਾ	Haushund
ਸੰਯੁਕਤ ਬਾਦਸ਼ਾਹੀ	Vereinigtes Königreich
ਬਿੱਲੀ	Hauskatze
ਚੀਨ ਲੋਕ ਗਣਰਾਜ	Volksrepublik China
ਫ਼ਰਾਂਸੀਸੀ ਭਾਸ਼ਾ	Französische Sprache
ਵਿਕਸ਼ਨਰੀ	Wiktionary
ਮੱਛੀ	Fische
ਈਥੇਨੋਲ	Ethanol
ਬ੍ਰਾਜ਼ੀਲ	Brasilien
ਅਲਕੋਹਲ	Alkohole
ਫਰਾਂਸੋਆ ਔਲਾਂਦ	François Hollande
ਰੂਸ	Russland
ਪ੍ਰਕਾਸ਼ੀ ਤੰਦ	Lichtwellenleiter
ਸਮੁੰਦਰ	Meer
ਕਾਲ਼ਾ ਸਮੁੰਦਰ	Schwarzes Meer
ਪਾਈ	Kreiszahl
ਪਾਈ (ਅੱਖਰ)	Pi (Buchstabe)
ਟੋਰਾਂਟੋ	Toronto
ਅਲਾਬਾਮਾ	Alabama
ਸਾਓ ਪਾਉਲੋ	São Paulo
ਕੇਬੈਕ	Québec
ਪੀਜ਼ਾ	Pizza
ਵਿਕੀਮੀਡੀਆ ਫ਼ਾਊਂਡੇਸ਼ਨ	Wikimedia
ਜਿੰਮੀ ਵੇਲਸ	Jimmy Wales
ਜਰਮਨੀ	Deutschland
ਬੇਲਾਰੂਸ	Weißrussland
ਜਰਮਨ ਭਾਸ਼ਾ	Deutsche Sprache
ਆਈਸਲੈਂਡ	Island
ਪਰਮਾਤਮਾ	Gott
ਇਸਤੋਨੀਆ	Estland
ਸ਼ਨੀ (ਗ੍ਰਹਿ)	Saturn (Planet)
ਹਵਾਈ ਜਹਾਜ਼	Flugzeug
ਜੰਗ	Krieg
੧ (ਅੰਕ)	Eins
੨ (ਅੰਕ)	Zwei
੩ (ਅੰਕ)	Drei
੪ (ਅੰਕ)	Vier
੫ (ਅੰਕ)	Fünf
ਸਿਫ਼ਰ (ਅੰਕ)	Null
ਸਟੀਵਨ ਹਾਰਪਰ	Stephen Harper
ਜਾਰਜ ਵਾਕਰ ਬੁਸ਼	George W. Bush
ਲਾਤਵੀਆ	Lettland
ਯੂਕਰੇਨ	Ukraine
ਚੈੱਕ ਗਣਰਾਜ	Tschechien
ਸਲੋਵਾਕੀਆ	Slowakei
ਸਲੋਵੇਨੀਆ	Slowenien
ਵਿਲਨਸ	Vilnius
ਮੋਲਦੋਵਾ	Moldawien
ਰੋਮਾਨੀਆ	Rumänien
ਬੁਲਗਾਰੀਆ	Bulgarien
ਰੋਮ	Rom
ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Mazedonien
ਅਲਬਾਨੀਆ	Albanien
ਗਰੀਨਲੈਂਡ	Grönland
ਕ੍ਰੋਏਸ਼ੀਆ	Kroatien
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	Bosnien und Herzegowina
ਨੂਕ	Nuuk
ਅਜ਼ਰਬਾਈਜਾਨ	Aserbaidschan
ਅੰਡੋਰਾ	Andorra
ਸਾਇਪ੍ਰਸ	Republik Zypern
ਜਾਰਜੀਆ (ਦੇਸ਼)	Georgien
ਕਜ਼ਾਖ਼ਸਤਾਨ	Kasachstan
ਮਾਲਟਾ	Malta
ਮੋਨਾਕੋ	Monaco
ਮੋਂਟੇਨੇਗਰੋ	Montenegro
ਵੈਟੀਕਨ ਸ਼ਹਿਰ	Vatikanstadt
ਸਾਨ ਮਰੀਨੋ	San Marino
ਬਰੱਸਲਸ (ਸ਼ਹਿਰ)	Region Brüssel-Hauptstadt
ਕਿਊਬਾ	Kuba
ਬੇਲੀਜ਼	Belize
ਆਈਫ਼ਲ ਟਾਵਰ	Eiffelturm
ਬਾਰਬਾਡੋਸ	Barbados
ਫ਼ੌਕਸਵੈਗਨ	Volkswagen
ਇਨਟੈੱਲ	Intel
ਜਾਵਾ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	Java (Programmiersprache)
ਇੰਡੋਨੇਸ਼ੀਆ	Indonesien
ਵੋਲਫ਼ਗਾਂਗ ਆਮਾਡੇਅਸ ਮੋਜ਼ਾਰਟ	Wolfgang Amadeus Mozart
ਲੁਡਵਿਗ ਵਾਨ ਬੀਥੋਵਨ	Ludwig van Beethoven
ਤੁਰਕ ਭਾਸ਼ਾ	Türkische Sprache
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	Südafrika
ਅਲਜੀਰੀਆ	Algerien
ਉਜ਼ਬੇਕਿਸਤਾਨ	Usbekistan
ਤਾਸ਼ਕੰਤ	Taschkent
ਵਾਰਸਾ	Warschau
ਵਾਈਨ	Wein
ਪਾਣੀ	Wasser
ਚਮੜਾ	Leder
ਲੱਕੜ	Holz
ਟੀਵੀ	Fernsehen
ਫ਼ਾਹਸ਼ ਰਚਨਾ	Pornografie
ਕਲੌਦ ਮੋਨੇ	Claude Monet
ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ	Diego Rodríguez de Silva y Velázquez
ਚੀਲੇ	Chile
ਈਸਾ ਮਸੀਹ	Jesus Christus
ਗੈਲੀਲਿਓ ਗੈਲੀਲੀ	Galileo Galilei
ਬੁੱਧ (ਗ੍ਰਹਿ)	Merkur (Planet)
ਇਤਿਹਾਸ	Geschichte
ਐਪਲ	Apple
ਭਾਸ਼ਾ	Sprache
ਪਿਆਰ	Liebe
ਤਾਨਾਸ਼ਾਹੀ	Diktatur
ਅਕਾਸ਼ਗੰਗਾ	Galaxie
ਬ੍ਰਹਿਸਪਤ (ਗ੍ਰਹਿ)	Jupiter (Planet)
ਮਿਸ਼ੇਲ ਬਾਚੇਲੇਤ	Michelle Bachelet
ਮਿਲਕੀ ਵੇ	Milchstraße
ਮਹਾਂ ਧਮਾਕਾ	Urknall
ਯੁਰੇਨਸ (ਗ੍ਰਹਿ)	Uranus (Planet)
ਅੰਗਰੇਜ਼ੀ ਵਿਕੀਪੀਡੀਆ	Englischsprachige Wikipedia
ਵਰੁਣ (ਗ੍ਰਹਿ)	Neptun (Planet)
ਤਾਰਾ ਵਿਗਿਆਨ	Astronomie
ਸਿੰਗਾਪੁਰ	Singapur
ਵਿਗਿਆਨ	Wissenschaft
ਪਲੂਟੋ	Pluto
ਮਾਂਟਰੀਆਲ	Montreal
ਆਜ਼ਾਦ ਸਾਫ਼ਟਵੇਅਰ	Freie Software
ਕੁਆਰੀ ਮਰੀਅਮ	Maria (Mutter Jesu)
ਲੀਖਟਨਸ਼ਟਾਈਨ	Liechtenstein
ਖੇਡ	Sport
ਕੈਂਬਰਿਜ	Cambridge
ਅਡੋਲਫ ਹਿਟਲਰ	Adolf Hitler
ਫ਼ੇਸਬੁੱਕ	Facebook
ਵਿਕੀਲੀਕਸ	WikiLeaks
ਪਹਿਲੀ ਸੰਸਾਰ ਜੰਗ	Erster Weltkrieg
ਦੂਜੀ ਸੰਸਾਰ ਜੰਗ	Zweiter Weltkrieg
ਕਲਨ	Köln
ਭ੍ਰਿਸ਼ਟਾਚਾਰ	Korruption
ਘੜੀ	Uhr
ਉਬੁੰਟੂ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Ubuntu
ਸਕੋਪੀਏ	Skopje
ਲਿਨਕਸ	Linux
ਹਿਸਾਬ	Mathematik
ਬਹਿਰੀਨ	Bahrain
ਅਰਮੀਨੀਆ	Armenien
ਕੀਲਾਕਾਰ ਲਿਪੀ	Keilschrift
ਹਿਗਜ਼ ਬੋਸੌਨ	Higgs-Boson
ਸਰਬੀਆ	Serbien
ਚੰਦਰਮਾ	Mond
ਇਸਤਾਨਬੁਲ	Istanbul
ਆਸਟਰੇਲੀਆ	Australien
ਬਾਬ ਮਾਰਲੇ	Bob Marley
ਭੌਤਿਕ ਵਿਗਿਆਨ	Physik
ਅਰਜਨਟੀਨਾ	Argentinien
ਪੇਰੂ	Peru
ਜੀਵ ਵਿਗਿਆਨ	Biologie
ਉੱਡਣ ਤਸ਼ਤਰੀ	UFO
ਉੱਤਰੀ ਕੋਰੀਆ	Nordkorea
ਕੰਬੋਡੀਆ	Kambodscha
ਪਸ਼ੂ ਅਧਿਕਾਰ	Tierrechte
ਕੁਰਾਨ	Koran
ਡਾਈਨੋਸੌਰ	Dinosaurier
ਜੰਤੂ ਵਿਗਿਆਨ	Zoologie
ਇਸਲਾਮ	Islam
ਲਿਊਬਲਿਆਨਾ	Ljubljana
ਬਨਸਪਤੀ ਵਿਗਿਆਨ	Botanik
ਦੇਨੀ ਦਿਦਰੋ	Denis Diderot
ਅਮਨ	Frieden
ਇਨਸਾਈਕਲੋਪੀਡੀਆ ਬ੍ਰਿਟੈਨਿਕਾ	Encyclopædia Britannica
ਲਿਓਂ	Lyon
ਯੂਰਪੀ ਸੰਘ	Europäische Union
ਇੰਟਰਨੈੱਟ ਅਰਕਾਈਵ	Internet Archive
ਰੋਨ-ਆਲਪ	Rhône-Alpes
