आफ्रिकाखण्डः	Afrika
जपान्	Japan
दक्षिणामेरिका	Südamerika
नार्वे	Norwegen
इङ्ग्लेण्डदेशः	England
ऐर्लेण्ड्देशः	Irland
हंगरी	Ungarn
स्पेन्	Spanien
अमेरिकासंयुक्तराज्यम्	Vereinigte Staaten
बेल्जियम्	Belgien
लक्सम्बर्ग	Luxemburg
पृथ्वी	Erde
मनुष्यः	Mensch
जार्ज वाशिंगटन	George Washington
फिन्लैंड	Finnland
स्वीडन	Schweden
डेनमार्क	Dänemark
पोलॅण्ड्	Polen
लेतुवा	Litauen
इटली	Italien
स्विट्झर्ल्याण्ड्	Schweiz
आस्ट्रिया	Österreich
यवनदेशः	Griechenland
तुर्की	Türkei
पुर्तगाल	Portugal
यूरोपखण्डः	Europa
जम्बूद्वीपः	Asien
उत्तर-अमेरिकाखण्डः	Nordamerika
अण्टार्क्टिका	Antarktika
विकिपीडिया	Wikipedia
नेदर्लेण्ड्देशः	Niederlande
शिश्	Penis
न्‍यू यॉर्क्	New York City
वाशिङ्ग्टन् डि सि	Washington, D.C.
लास एंजलस	Los Angeles
सङ्गणकम्	Computer
जिनीवा	Genf
अन्तरजालम्	Internet
बराक् ओबामा	Barack Obama
उरुग्वाय	Uruguay
लन्डन्	London
शिरोवेदना	Kopfschmerz
अट्लाण्टिक्-महासागरः	Atlantischer Ozean
प्रशान्तमहासागरः	Pazifischer Ozean
कालिफ़ोर्निया	Kalifornien
बास्टन्	Boston
सोमवासरः	Montag
जनवरी	Januar
फरवरी	Februar
मार्च	März
मङ्गलः	Mars (Planet)
केन्या	Kenia
ईथ्योपिया	Äthiopien
घाना	Ghana
अप्रैल	April
मई	Mai
जून	Juni
जुलाई	Juli
अगस्त	August
सितम्बर	September
अक्तूबर	Oktober
नवम्बर	November
दिसम्बर	Dezember
मङ्गलवासरः	Dienstag
बुधवासरः	Mittwoch
गुरुवासरः	Donnerstag
शुक्रवासरः	Freitag
शनिवासरः	Samstag
रविवासरः	Sonntag
फ्रान्सदेशः	Frankreich
एस्पेरान्तो	Esperanto
शुनकः	Haushund
संयुक्त अधिराज्य	Vereinigtes Königreich
मार्जालः	Hauskatze
फ्रांसीसी भाषा	Französische Sprache
मत्स्याः	Fische
ब्रासील	Brasilien
रशिया	Russland
अलाबामा	Alabama
साओ पाओलो	São Paulo
विकिमीडिया	Wikimedia
जर्मनी	Deutschland
बेलारूस	Weißrussland
जर्मन् भाषा	Deutsche Sprache
आइसलैंड	Island
एस्टोनिया	Estland
शनिः	Saturn (Planet)
युद्धम्	Krieg
शून्यम् (सङ्ख्या)	Null
जार्ज डबल्यु बुश	George W. Bush
लाट्विया	Lettland
ज़ेक् रिपब्लिक	Tschechien
स्लोवाकिया	Slowakei
स्लोवीनिया	Slowenien
मोल्दोवा	Moldawien
बुल्गारिया	Bulgarien
रोमा	Rom
मेसेडोनिया	Mazedonien
अल्बेनिया	Albanien
क्रोएशिया	Kroatien
बास्निया	Bosnien und Herzegowina
अजर्बैजान	Aserbaidschan
अण्डोरा	Andorra
जार्जिया (देशः)	Georgien
कजाकस्थान	Kasachstan
माल्टा	Malta
मोनाको	Monaco
वैटिकन	Vatikanstadt
सान मरीनो	San Marino
क्यूबा	Kuba
बेलीज	Belize
बार्बाडोस	Barbados
इण्डोनेशिया	Indonesien
वोल्फगांग आमाडेउस मोझार्ट	Wolfgang Amadeus Mozart
दक्षिण-आफ्रिका	Südafrika
अल्जीरिया	Algerien
उजबेकिस्थान	Usbekistan
जलम्	Wasser
दूरदर्शनम्	Fernsehen
चिलि	Chile
बुधः	Merkur (Planet)
इतिहासः	Geschichte
एप्पल्	Apple
शुक्रः	Venus (Planet)
भाषा	Sprache
आकाशगङ्गा	Galaxie
गुरुग्रहः	Jupiter (Planet)
मिशेल बाचेलेत	Michelle Bachelet
बिग्-ब्याङ्ग्	Urknall
युरेनस्-ग्रहः	Uranus (Planet)
नेप्चून्-ग्रहः	Neptun (Planet)
ज्योतिषशास्त्रम्	Astronomie
सिङ्गापुरम्	Singapur
विज्ञानम्	Wissenschaft
प्लूटो-ग्रहः	Pluto
लिक्टनस्टैन	Liechtenstein
ऐडॉल्फ् हिटलर्	Adolf Hitler
फेस्बुक्	Facebook
द्वितीयविश्वयुद्धम्	Zweiter Weltkrieg
भ्रष्टाचारः	Korruption
विकिसूक्तयः	Wikiquote
गणितम्	Mathematik
लातिनी	Latein
बहरैन	Bahrain
आर्मीनिया	Armenien
सर्बिया	Serbien
चन्द्रः	Mond
आस्ट्रेलिया	Australien
भौतिकशास्त्रम्	Physik
अर्जण्टिना	Argentinien
पेरु	Peru
जीवशास्त्रम्	Biologie
उत्तर कोरिया	Nordkorea
कुरान्	Koran
इस्लाम्-मतम्	Islam
वनस्पतिविज्ञानम्	Botanik
लेक वलेंसा	Lech Wałęsa
कविता	Poesie
जम्बीरम्	Zitrone
६६६	666
पुष्पाणि	Blüte
सगरमाथा	Mount Everest
नेपोलियन बोनापार्ट	Napoleon Bonaparte
तारा	Stern
सूर्यः	Sonne
लूयीस् पाश्चर्	Louis Pasteur
ग्रामः	Dorf
विक्टर ह्यूगो	Victor Hugo
ओशीनिया	Ozeanien
सूर्यमंडलम्	Sonnensystem
उदजन	Wasserstoff
हीलियम्	Helium
लीथियम्	Lithium
अहोरात्रम्	Tag
वर्षः	Jahr
लिस्बन	Lissabon
इचिरो सुजुकी	Ichirō Suzuki (Baseballspieler)
बोरान	Bor
निकोलस् कपरनिकस्	Nikolaus Kopernikus
क्लियोपैत्रा	Kleopatra VII.
सङ्गीतम्	Musik
मास्कोनगरम्	Moskau
इतालवी भाषा	Italienische Sprache
चाड	Tschad
न्यूजिलैण्ड्	Neuseeland
भारतम्	Indien
फ्रान्सियम	Francium
टुवालु	Tuvalu
अयः	Eisen
टोंगा	Tonga
गन्धकः	Schwefel
समोआ	Samoa
