Aprika	Afrika
Siapan	Japan
Saut Amerika	Südamerika
Nowe	Norwegen
Inglan	England
Skotlan	Schottland
Wels	Wales
Noten Aialan	Nordirland
Ripablik bilong Aialan	Irland
Hangari	Ungarn
Spen	Spanien
Ol Yunaitet Stet	Vereinigte Staaten
Beljiam	Belgien
Giraun	Erde
Pinlan	Finnland
Suwidan	Schweden
Denmak	Dänemark
Polan	Polen
Lituwenia	Litauen
Itali	Italien
Suwisalan	Schweiz
Ostria	Österreich
Gris	Griechenland
Teki	Türkei
Posugol	Portugal
Yurop	Europa
Esia	Asien
Not Amerika	Nordamerika
Wikipedia	Wikipedia
Ol Nitelan	Niederlande
Niu Yok Siti	New York City
Wasington DC	Washington, D.C.
Berlin	Berlin
Berne	Bern
Intanet	Internet
Barack Obama	Barack Obama
Landen	London
Kairo	Kairo
Paris	Paris
Meksiko	Mexiko
Solwara Atlantik	Atlantischer Ozean
Solwara Pasifik	Pazifischer Ozean
Mande	Montag
Janueri	Januar
Februeri	Februar
Mas	März
Epril	April
Me	Mai
Jun	Juni
Julai	Juli
Ogas	August
Septemba	September
Oktoba	Oktober
Novemba	November
Disemba	Dezember
Tunde	Dienstag
Trinde	Mittwoch
Fonde	Donnerstag
Fraide	Freitag
Sarere	Samstag
Sande	Sonntag
Frens	Frankreich
Esperanto	Esperanto
Yunaitet Kingdom	Vereinigtes Königreich
Ol Manmeri Ripablik bilong Saina	Volksrepublik China
Tok Frens	Französische Sprache
Wiktionary	Wiktionary
Rasia	Russland
San Paulu	São Paulo
Siamani	Deutschland
Belaras	Weißrussland
Tok Jeman	Deutsche Sprache
Aislan	Island
God	Gott
Estonia	Estland
George Walker Bush	George W. Bush
Latvia	Lettland
Yukren	Ukraine
Sek Ripablik	Tschechien
Slovakia	Slowakei
Vilnius	Vilnius
Romenia	Rumänien
Balgeria	Bulgarien
Rom	Rom
Albenia	Albanien
Greenland	Grönland
Krowesia	Kroatien
Azerbaijan	Aserbaidschan
Andora	Andorra
Saipras	Republik Zypern
San Marino	San Marino
Brussels	Stadt Brüssel
Indonisia	Indonesien
Saut Aprika	Südafrika
Woso	Warschau
Tok Aislan	Isländische Sprache
Jisas	Jesus Christus
Histori	Geschichte
Tokples	Sprache
Yurenes (planet)	Uranus (Planet)
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomie
Ubuntu	Ubuntu
Szczecin	Stettin
Ol matematik	Mathematik
U2	U2 (Band)
Tok Latin	Latein
Armenia	Armenien
Sebia	Serbien
Mun (i stap long heven)	Mond
Ostrelia	Australien
Save long laip	Biologie
Not Koria	Nordkorea
Islam	Islam
Lyon	Lyon
Sofia	Sofia
San	Sonne
Osenia	Ozeanien
Wikimedia Commons	Wikimedia Commons
Buk	Buch
De	Tag
Yia	Jahr
Oslo	Oslo
Katowice	Katowice
Planet	Planet
Lille	Lille
Mosko	Moskau
Tok Itali	Italienische Sprache
Niu Silan	Neuseeland
India	Indien
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Solomon Ailans	Salomonen
Vanuatu	Vanuatu
Papua Niugini	Papua-Neuguinea
Nauru	Nauru
Ol Masol Ailan	Marshallinseln
Kiribas	Kiribati
Fiji	Fidschi
Abus	Tier
At	Kunst
Budisim	Buddhismus
Sayor	Pflanzen
Irak	Irak
Israel	Israel
Panama	Panama
Yemen	Jemen
Tok Polan	Polnische Sprache
Amerika (Kontinen)	Amerika
Malaysia	Malaysia
Platon	Platon
Ripablik bilong Saina	Republik China (Taiwan)
Aristoteles	Aristoteles
Tailan	Thailand
Vietnam	Vietnam
Saut Koria	Südkorea
Socrates	Sokrates
Bhutan	Bhutan
Brunai	Brunei
Albert Einstein	Albert Einstein
Yelo (kala)	Gelb
Beijing	Peking
Gabon	Gabun
Gandi	Mohandas Karamchand Gandhi
Lesoto	Lesotho
Naijiria	Nigeria
Senegal	Senegal
Sierra Leone	Sierra Leone
Julius Caesar	Gaius Iulius Caesar
Save long giraun	Geographie
Kala	Farbe
Blu (kala)	Blau
Bill Clinton	Bill Clinton
Yerusalem	Jerusalem
Kolorado	Colorado
Chicago	Chicago
Tok Spen	Spanische Sprache
Mani	Geld
Uetersen	Uetersen
Augustus Caesar	Augustus
Trajan	Trajan
Tokyo	Präfektur Tokio
Bagdad	Bagdad
Stockholm	Stockholm
Dublin	Dublin
Reykjavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Katolik	Katholizismus
Baibel	Bibel
Ho Chi Minh City	Ho-Chi-Minh-Stadt
Tru Jisas Lotu	Wahre Jesus-Kirche
Tokples Inglis	Englische Sprache
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipeh
Đồng Hới	Đồng Hới
Concepción	Concepción (Chile)
Ottawa	Ottawa
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Benedikt XVI.
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo
Soka	Fußball
1963	1963
1962	1962
Madrid	Madrid
Michael Jackson	Michael Jackson
Göttingen	Göttingen
Kambra	Canberra
Ret (kala)	Rot
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Kategorie:Vorlage:
1960	1960
Freetown	Freetown
Wes Papua	West-Neuguinea
Skul	Schule
Osasku	Osasco
Ples balus Dong Hoi	Flughafen Dong Hoi
Kuritiba	Curitiba
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Kongzi	Konfuzius
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Kategorie:Mathematik
Euro	Euro
Jason Lee	Jason Lee (Schauspieler)
Lotu Kristen	Christentum
Kontinen	Kontinent
Kapitol	Hauptstadt
Monzón	Monzón
Mun (taim)	Monat
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Japanische Sprache
Ensaiklopedia	Enzyklopädie
Fran pes	Wikipedia:Hauptseite
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Bethlehem
Pilosopi	Philosophie
Grup:All articles proposed for deletion	Kategorie:Wikipedia:Schnelllöschen
Piano	Klavier
Ti	Tee
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Kategorie:Astronomie
Carcassonne	Carcassonne
Sahara	Sahara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Buddha
Politikis	Politik
Gavman	Regierung
Kantri	Staat
Kamel	Altweltkamele
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Russische Sprache
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Allgemeine Erklärung der Menschenrechte
Tok Balgeria	Bulgarische Sprache
Nelson Mandela	Nelson Mandela
Lajik	Logik
Grama	Grammatik
Ikonimikis	Wirtschaftswissenschaft
Yen bilong Siapan	Yen
Stadi bilong pasin bilong ol tokples	Sprachwissenschaft
Hangul	Koreanisches Alphabet
Grup:Pranis	Kategorie:Frankreich
"Weird Al" Yankovic	Weird Al Yankovic
Alexander Makedon	Alexander der Große
Edukesen	Bildung
Famili	Familie
Kopi	Kaffee
Sol	Seoul
Tokples long Albenia	Albanische Sprache
Valencia	Valencia
Tok Denmak	Dänische Sprache
Tok Nowe	Norwegische Sprache
Tok Slovakia	Slowakische Sprache
