IYunayithedi Steyitsi	Vereinigte Staaten
Abantu	Mensch
Switserii	Schweiz
Ubhiya	Bier
Europe	Europa
I-Wikipedia	Wikipedia
ENetherlands	Niederlande
Ikhompyutha	Computer
EGeneva	Genf
Eyomqungu	Januar
Eyomdumba	Februar
Eyokwindla	März
Tshazimpuzi	April
Canzibe	Mai
Eyesilimela	Juni
Eyekhala	Juli
Eyethupha	August
Eyomsintsi	September
Eyedwarha	Oktober
Eyenkanga	November
Eyomnga	Dezember
Ingonyama	Löwe
Inja	Haushund
Ikati	Hauskatze
Intlanzi	Fische
Brasil	Brasilien
IRashiya	Russland
IJamani	Deutschland
IsiJamani	Deutsche Sprache
UThixo	Gott
Inqwelo-ntaka	Flugzeug
Imfazwe	Krieg
Inye	Eins
Zimbini	Zwei
Zintathu	Drei
Zine	Vier
Zintlanu	Fünf
Iqanda	Null
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
UMzantsi Afrika	Südafrika
Iveyn	Wein
Amanzi	Wasser
IChile	Chile
UYesu Kristu	Jesus Christus
Imbali	Geschichte
Ulwimi	Sprache
IAstronomi	Astronomie
ISyensya	Wissenschaft
Ezemidlalo	Sport
I-Mathematics	Mathematik
IFiziki	Physik
IBayoloji	Biologie
Uxolo	Frieden
UKat	Sonne
Isibhakabhaka	Himmel (planetär)
Incwadi	Buch
Umculo	Musik
William Shakespeare	William Shakespeare
UStevie Wonder	Stevie Wonder
Itshesi	Schach
IsiColombia	Kolumbien
I-Fungi	Pilze
Unomathotholo	Hörfunk
Igolide	Gold
I-South Pole	Südpol
Mauritania	Mauretanien
INigeria	Nigeria
Julius Caesar	Gaius Iulius Caesar
Hamburg	Hamburg
IJioloji	Geologie
IJerusalem	Jerusalem
E-Chicago	Chicago
UBusika	Winter
EKwindla	Herbst
Isiqhamo	Frucht
Imali	Geld
Uetersen	Uetersen
Augustus	Augustus
IHanoveri (eJamani)	Hannover
Frankfurt	Frankfurt am Main
IBhayibhile	Bibel
Lenkonzo enyanisekileyo ka Krestu	Wahre Jesus-Kirche
IsiNgesi	Englische Sprache
Concepción	Concepción (Chile)
Końskowola	Końskowola
Inyoka	Schlangen
IKhemistri	Chemie
1 Eyokwindla	1. März
18 Eyekhala	18. Juli
Ibhola ekhatywayo	Fußball
UMichael Jackson	Michael Jackson
Ibhokhwe	Hausziege
Ukukhululeka	Freiheit
I-Nile	Nil
Category:Templates	Kategorie:Vorlage:
E-Pitoli	Pretoria
Umlambo	Fluss
Osasco	Osasco
Curitiba	Curitiba
Confucius	Konfuzius
Category:Izibalo	Kategorie:Mathematik
Yentaka	Vögel
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Iphepha Elingundoqo	Wikipedia:Hauptseite
Iqakamba	Cricket
Ibhola yombhoxo	Rugby
IKapa	Kapstadt
EThekwini	Durban
Ifilosofi	Philosophie
Category:Candidates for speedy deletion	Kategorie:Wikipedia:Schnelllöschen
I-Democracy	Demokratie
IsiHolani	Niederländische Sprache
