非洲	Afrika
日本	Japan
南美洲	Südamerika
挪威	Norwegen
英倫	England
蘇格蘭	Schottland
威爾斯	Wales
北愛爾蘭	Nordirland
愛爾蘭共和國	Irland
匈牙利	Ungarn
西班牙	Spanien
美國	Vereinigte Staaten
比利時	Belgien
盧森堡	Luxemburg
宇宙	Universum
地球	Erde
生命	Leben
死	Tod
人	Mensch
開心	Glück
佐治華盛頓	George Washington
李柏納	Tim Berners-Lee
Leet	Leetspeak
寇比力克	Stanley Kubrick
瑪雅曆法	Maya-Kalender
維基數據	Wikidata
芬蘭	Finnland
瑞典	Schweden
丹麥	Dänemark
波蘭	Polen
立陶宛	Litauen
意大利	Italien
瑞士	Schweiz
奧地利	Österreich
希臘	Griechenland
土耳其	Türkei
啤酒	Bier
葡萄牙	Portugal
歐洲	Europa
亞洲	Asien
北美洲	Nordamerika
南極洲	Antarktika
維基百科	Wikipedia
荷蘭	Niederlande
朘	Penis
PHP	PHP
紐約市	New York City
華盛頓特區	Washington, D.C.
三藩市	San Francisco
柏林	Berlin
洛杉磯	Los Angeles
波音	Boeing
空中客車	Airbus
電腦	Computer
伯恩	Bern
日內瓦	Genf
蘇黎世	Zürich
互聯網	Internet
奧巴馬	Barack Obama
烏拉圭	Uruguay
巴塞爾	Basel
列印機	Drucker (Gerät)
MediaWiki	MediaWiki
倫敦	London
開羅	Kairo
頭刺	Kopfschmerz
亞歷山大港	Alexandria
巴黎	Paris
林肯	Abraham Lincoln
Android	Android (Betriebssystem)
Google	Google Inc.
墨西哥	Mexiko
大西洋	Atlantischer Ozean
太平洋	Pazifischer Ozean
加利福尼亞州	Kalifornien
波士頓	Boston
Pneumonoultramicroscopicsilicovolcanoconiosis	Pneumonoultramicroscopicsilicovolcanoconiosis
星期一	Montag
空間	Raum (Physik)
1月	Januar
2月	Februar
3月	März
火星	Mars (Planet)
肯雅	Kenia
埃塞俄比亞	Äthiopien
君主	Herrschertitel
加納	Ghana
4月	April
5月	Mai
6月	Juni
7月	Juli
8月	August
9月	September
10月	Oktober
11月	November
12月	Dezember
星期二	Dienstag
星期三	Mittwoch
星期四	Donnerstag
星期五	Freitag
星期六	Samstag
星期日	Sonntag
獅子	Löwe
法國	Frankreich
世界語	Esperanto
狗	Haushund
英國	Vereinigtes Königreich
貓	Hauskatze
中華人民共和國	Volksrepublik China
法文	Französische Sprache
維基辭典	Wiktionary
魚	Fische
乙醇	Ethanol
酒	Alkoholisches Getränk
巴西	Brasilien
酒精	Alkohole
奧朗德	François Hollande
俄羅斯	Russland
鯨魚	Wale
約郡	Yorkshire
正方形	Quadrat
海	Meer
黑海	Schwarzes Meer
圓周率	Kreiszahl
Π	Pi (Buchstabe)
Wiki	Wiki
多倫多	Toronto
阿拉巴馬州	Alabama
聖保羅	São Paulo
聖保羅州	São Paulo (Bundesstaat)
魁北克省	Québec
意大利薄餅	Pizza
意式麪	Pasta
維基媒體基金會	Wikimedia
占美威爾斯	Jimmy Wales
德國	Deutschland
白俄羅斯	Weißrussland
德文	Deutsche Sprache
冰島	Island
上帝	Gott
愛沙尼亞	Estland
甘民樂	David Cameron
土星	Saturn (Planet)
朱古力	Schokolade
飛機	Flugzeug
打仗	Krieg
1	Eins
2	Zwei
3	Drei
4	Vier
5	Fünf
0	Null
無限大	Unendlichkeit
喬治布殊	George W. Bush
拉脫維亞	Lettland
烏克蘭	Ukraine
捷克	Tschechien
斯洛伐克	Slowakei
斯洛文尼亞	Slowenien
維爾紐斯	Vilnius
摩爾多瓦	Moldawien
羅馬尼亞	Rumänien
保加利亞	Bulgarien
羅馬	Rom
馬其頓共和國	Mazedonien
阿爾巴尼亞	Albanien
格陵蘭	Grönland
克羅地亞	Kroatien
波斯尼亞	Bosnien und Herzegowina
努克	Nuuk
阿塞拜疆	Aserbaidschan
安道爾	Andorra
塞浦路斯	Republik Zypern
格魯吉亞	Georgien
哈薩克	Kasachstan
馬耳他	Malta
摩納哥	Monaco
黑山	Montenegro
梵蒂岡	Vatikanstadt
聖馬連奴	San Marino
布魯塞爾	Stadt Brüssel
布魯塞爾首都區	Region Brüssel-Hauptstadt
古巴	Kuba
伯利茲	Belize
巴黎鐵塔	Eiffelturm
巴巴多斯	Barbados
勒士啤梨派	Raspberry Pi
福士汽車	Volkswagen
英特爾	Intel
鍵盤 (電腦)	Tastatur
Java程式語言	Java (Programmiersprache)
印尼	Indonesien
QWERTY鍵盤	QWERTY-Tastaturbelegung
莫札特	Wolfgang Amadeus Mozart
貝多芬	Ludwig van Beethoven
土耳其話	Türkische Sprache
南非共和國	Südafrika
Linkin Park	Linkin Park
阿爾及利亞	Algerien
維基文庫	Wikisource
颶風珊迪	Hurrikan Sandy
月即別	Usbekistan
塔什干	Taschkent
華沙	Warschau
威士忌	Whisky
葡萄酒	Wein
水	Wasser
干邑	Cognac (Branntwein)
真皮	Leder
木	Holz
電視	Fernsehen
鹹濕	Pornografie
冰島文	Isländische Sprache
莫奈	Claude Monet
委拉斯蓋茲	Diego Rodríguez de Silva y Velázquez
智利	Chile
耶穌	Jesus Christus
皮禮士利	Elvis Presley
體罰	Körperstrafe
伽利略	Galileo Galilei
水星	Merkur (Planet)
歷史	Geschichte
蘋果公司	Apple
金星	Venus (Planet)
語言	Sprache
愛	Liebe
專政	Diktatur
星系	Galaxie
木星	Jupiter (Planet)
巴切萊特	Michelle Bachelet
銀河	Milchstraße
宇宙大爆炸	Urknall
天王星	Uranus (Planet)
英文維基百科	Englischsprachige Wikipedia
薩爾科齊	Nicolas Sarkozy
海王星	Neptun (Planet)
天文	Astronomie
星架坡	Singapur
科學	Wissenschaft
冥王星	Pluto
滿地可	Montreal
自由軟件	Freie Software
聖母瑪利亞	Maria (Mutter Jesu)
列支敦士登	Liechtenstein
運動	Sport
劍橋	Cambridge
希特拉	Adolf Hitler
Facebook	Facebook
WikiLeaks	WikiLeaks
阿桑奇	Julian Assange
第一次世界大戰	Erster Weltkrieg
第二次世界大戰	Zweiter Weltkrieg
第三次世界大戰	Dritter Weltkrieg
古龍 (德國)	Köln
貪污	Korruption
維基書本	Wikibooks
維基語錄	Wikiquote
維基學府	Wikiversity
維基遊埠	Wikivoyage
伏特加	Wodka
格仔餅	Waffel
鐘	Uhr
Ubuntu	Ubuntu
斯科普里	Skopje
Linux	Linux
數學	Mathematik
拉丁話	Latein
巴林	Bahrain
亞美尼亞	Armenien
楔形字	Keilschrift
希格斯玻色子	Higgs-Boson
塞爾維亞	Serbien
月光	Mond
伊斯坦堡	Istanbul
澳洲	Australien
物理	Physik
阿根廷	Argentinien
秘魯	Peru
生物學	Biologie
不明飛行物體	UFO
朝鮮民主主義人民共和國	Nordkorea
柬埔寨	Kambodscha
柯伊伯帶	Kuipergürtel
可蘭經	Koran
恐龍	Dinosaurier
動物學	Zoologie
回敎	Islam
梨	Birnen
盧布爾雅那	Ljubljana
植物學	Botanik
Lech Wałęsa	Lech Wałęsa
轆	Rad
狄德羅	Denis Diderot
